Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
700	n/a (female)
700	..
700	..
700	..
700	n/a (female)
600	n/a (female)
601	n/a (female)
600	n/a (female)
1225	..
1885	..
700	..
700	n/a (female)
700	..
700	..
700	..
700	..
700	..
700	..
700	..
719	..
700	..
700	n/a (female)
700	..
700	..
1878	n/a (female)
700	n/a (female)
700	n/a (female)
700	n/a (female)
700	n/a (female)
700	n/a (female)
700	..
574	n/a (female)
726	..
700	n/a (female)
1500	..
1500	..
1500	n/a (female)
1500	..
1400	n/a (female)
1458	n/a (female)
1417	n/a (female)
1483	n/a (female)
1000	I2a1a1
950	n/a (female)
950	R1b1a2a1a1b
925	R1b1a2a1a1e
950	n/a (female)
1050	R1b1a2a1a1a
1075	R1b1a2a1a1c
1075	n/a (female)
950	n/a (female)
1050	R1b1a2a1b1
1000	I2a2a1b
950	n/a (female)
1100	I1a1b
1200	R1b1a2a1a1c2b1b
900	R1b1a2a1a2a1
950	R1b1a2a1a1c2b2a1
900	R1b1a2a1a2
950	n/a (female)
900	n/a (female)
1450	R1a1a1b1a3a1
1450	n/a (female)
1600	R1b1a1b1a1a1b
1450	n/a (female)
750	F
750	n/a  (sex unknown)
750	n/a (female)
750	n/a (female)
750	R1b1a1b1a1
750	n/a (female)
750	n/a (female)
950	R1a1a
1100	n/a (female)
1200	I1
1000	R1b1a1b1a1a2c1a1f1a
950	n/a (female)
800	I1
1000	R1b1a1b1a1a1c2b2a1b1a4b
1100	n/a (female)
1000	n/a (female)
1000	R1a1a1b1a3
950	R1a1a1b1a3a2a
1050	n/a (female)
1100	n/a (female)
1200	N1a1a1a1a1a1a
1050	I1
1000	R1a1a1b1a3a2
1050	n/a (female)
1200	R1a1a1b1a3a1
1000	I1a2a1a1d1a
1000	R1a1a1b1a3a2
1000	n/a (female)
1000	I1a2a1a1d1a
1100	n/a (female)
1100	n/a (female)
1150	R1b1a1b1a1a2c1a4d1
1150	I1a1b1a4a2
1000	n/a (female)
1050	I1a1b1a4a2
1100	n/a (female)
619	..
605	..
853	n/a (female)
1450	..
1121	..
1450	..
728	..
382	..
822	..
825	..
300	n/a (female)
300	n/a (female)
300	..
425	n/a (female)
300	..
425	..
990	..
1316	..
944	..
610	..
1061	..
1023	..
763	n/a (female)
547	..
603	..
1237	..
945	..
650	..
675	n/a (female)
650	n/a (female)
500	n/a  (sex unknown)
500	n/a  (sex unknown)
500	n/a  (sex unknown)
500	n/a  (sex unknown)
500	n/a  (sex unknown)
500	n/a  (sex unknown)
552	n/a (female)
575	n/a (low coverage)
506	n/a (low coverage)
575	n/a (female)
467	n/a (female)
533	Q1a2a1a
1550	n/a (female)
1550	..
1095	..
1335	n/a (female)
1095	..
1025	..
700	..
700	n/a (female)
700	n/a (female)
860	..
925	..
815	..
1060	..
1125	n/a (female)
825	n/a (female)
470	..
1575	..
1500	..
1220	n/a (female)
615	n/a (female)
540	n/a (female)
555	n/a (female)
685	..
865	..
1250	n/a (female)
700	n/a (female)
600	..
600	n/a (female)
735	..
590	..
765	..
765	..
765	..
685	n/a (female)
925	..
925	n/a (female)
925	..
550	n/a (female)
540	..
935	..
1475	..
1697	n/a (female)
1658	n/a (female)
1778	..
1625	n/a (female)
495	..
605	..
605	..
1395	n/a (female)
1320	..
950	n/a (female)
1025	n/a (female)
1783	n/a (female)
800	I2a
800	R1b1a1b
950	n/a (female)
950	R1a1a
950	n/a (female)
950	R1a1a1b1a2a
950	I1
1059	R
908	R1a1a1b
950	R1a1a
950	..
1014	..
1000	n/a (female)
1315	n/a (female)
612	Q1b1a1a1
1000	..
1081	n/a (female)
672	n/a (female)
925	Q1b1a1a
862	Q1b1a1a
801	Q1b1a1a1
900	Q1b1a1a1
862	..
672	n/a (female)
925	n/a (female)
1367	n/a (female)
1175	..
1026	..
1175	n/a (female)
1132	CT
701	n/a (female)
850	n/a (female)
850	n/a (female)
1333	n/a (female)
1068	n/a (female)
953	..
943	..
1300	..
1300	n/a (female)
1300	n/a (female)
1300	..
850	n/a (female)
1050	..
613	I*
1299	C2b1a1b1
150	n/a (female)
150	..
769	n/a (female)
1757	..
1721	..
860	..
1045	..
1070	..
1250	n/a (female)
1150	..
610	..
1085	..
1020	..
1100	..
860	..
1080	n/a (female)
1145	..
725	n/a (female)
1205	..
1140	n/a (female)
1355	n/a (female)
1085	..
1100	..
860	..
1140	n/a (female)
1126	..
1763	n/a (female)
1763	n/a (female)
1813	n/a (female)
1813	..
1813	n/a (female)
1100	..
1829	n/a (female)
1786	..
1725	n/a (female)
1761	..
1698	..
1000	..
1107	..
1150	..
1263	..
813	..
1744	n/a (female)
905	..
875	n/a (female)
795	n/a (female)
615	n/a (female)
605	n/a (female)
850	F
950	n/a  (sex unknown)
950	n/a (female)
850	R1a1a1b1a1a1c1c
900	R1a1a1b1a3a
900	n/a (female)
950	n/a (female)
950	R1
950	BT
900	I1
900	n/a (female)
950	n/a (female)
950	R1b1a1b1a1
900	I1
900	T1a1a
900	n/a (female)
900	I1
900	R1b1a1b1a1a2c
950	I1a1b1
900	I
900	I1a1
1050	I1a1b1
950	I1a
950	N1a1a1a1a1a
900	I1
950	n/a (female)
950	n/a (female)
950	n/a (female)
950	R1b1a1b1a1a2
900	R1a1a1b1
900	I1a
850	I1
950	n/a (female)
761	..
1000	n/a (female)
1460	I2a1b1a1a1b1a
1020	R1a1a1b1a3a1a3b2~
1000	R1b1a1b1a1a2c1a3a2
1589	R1b1a1b1a1a2c1
1000	R1b1a1b1a1a1b1a
930	n/a (female)
1112	n/a (female)
1400	..
1600	..
467	n/a (female)
1183	n/a (female)
355	n/a (female)
491	n/a (female)
390	n/a (female)
435	n/a (female)
1153	..
1153	n/a (female)
1153	n/a (female)
1153	..
1153	n/a (female)
854	..
750	..
937	n/a (female)
750	..
750	n/a (female)
750	n/a (female)
750	..
750	..
750	..
750	n/a  (sex unknown)
950	..
750	..
1000	..
750	..
900	n/a (female)
900	..
900	n/a (female)
950	n/a (female)
1038	..
1006	n/a (female)
908	n/a (female)
876	..
828	n/a (female)
908	..
550	..
550	n/a (female)
550	n/a  (sex unknown)
400	..
400	n/a (female)
400	n/a (female)
400	n/a (female)
400	n/a (female)
400	..
400	..
400	..
1800	..
1387	n/a (female)
1450	..
1650	n/a (female)
1550	..
1650	..
1600	..
1600	..
1800	n/a (female)
1600	n/a (female)
1750	..
1777	n/a (female)
1800	n/a (female)
1795	..
1287	..
1800	n/a (female)
1650	..
1600	..
1392	..
1392	n/a (female)
1392	..
1392	n/a (female)
1392	n/a (female)
1300	..
1300	n/a (female)
1300	n/a (female)
1300	..
1300	..
1392	..
1450	n/a (female)
1450	..
1468	..
1450	n/a (female)
1450	n/a (female)
1450	..
1450	n/a (female)
1450	..
1195	..
1450	..
1400	..
1392	n/a (female)
1392	..
1392	..
830	Q1b1a1a1
685	Q1b1a1a1
672	Q1b1a1a1
725	Q1b1a1a
855	n/a (female)
725	Q1b1a1a1
659	n/a (female)
675	n/a (female)
646	na
659	Q1b1a1a
698	n/a (female)
602	n/a (female)
950	..
1100	n/a (female)
1100	..
1100	..
1100	..
1100	n/a (female)
1100	n/a (female)
1100	..
1100	n/a (female)
1100	n/a (female)
1100	..
1100	..
1100	..
1100	n/a (female)
1100	n/a (female)
1100	n/a (female)
1100	..
1100	n/a (female)
1100	..
1100	..
1100	n/a (female)
1100	n/a (female)
1100	n/a (female)
1223	..
1177	n/a (female)
1090	n/a (female)
1138	..
1115	n/a (female)
1155	..
1103	n/a (female)
990	..
1031	..
1214	n/a (female)
1090	..
1223	..
1125	..
1112	n/a (female)
1100	..
1100	..
1100	n/a (female)
1100	n/a (female)
1100	n/a (female)
1100	n/a (female)
1100	n/a (female)
1100	n/a (female)
1100	n/a (female)
1100	n/a (female)
1075	..
1100	..
1100	n/a (female)
1100	n/a (female)
1100	..
1100	n/a (female)
1100	n/a (female)
1150	..
1100	..
1100	n/a (female)
1100	n/a (female)
1100	n/a (female)
1100	..
1100	n/a (female)
1100	n/a (female)
1075	n/a (female)
1100	n/a (female)
1150	n/a (female)
1100	..
1100	..
999	..
1138	..
1119	n/a (female)
1127	..
1177	n/a (female)
1127	n/a (female)
1223	..
1230	n/a (female)
1112	..
1177	n/a (female)
1102	..
1049	..
1238	..
1239	n/a (female)
1125	..
1100	..
1150	..
1100	..
1150	n/a (female)
1200	CT
1200	I1
1200	I1a1b1a4a2
1650	N1a1a1a1a
1550	n/a (female)
1405	..
900	n/a (female)
900	I2a1b1a2b1a2a
1000	I2a1b1
1061	n/a (female)
973	..
900	n/a (female)
900	F
975	CT
900	n/a (female)
900	n/a (female)
900	n/a (female)
1000	N1a1a1a1a1a1a
964	..
900	..
900	..
900	..
900	..
994	..
870	..
900	n/a (female)
900	n/a (female)
900	..
900	..
919	n/a (female)
1018	n/a (female)
863	..
900	..
798	..
857	..
950	n/a (female)
950	R1b1a1b1a1a
975	R1b1a1b1a1a1 
975	R1
1000	n/a (female)
1000	n/a (female)
1000	R1b
1000	R1b1a1b
1000	R1b1a1b
1000	n/a (female)
900	I1
900	R1a1a1
900	n/a (female)
900	I1a
900	R1b1a1b1a1a1b1a1
900	R1a1a
900	R1b1a1b1a1a2c1
1085	I2a1b1a2b1
1052	R1b1a1b1a1a2e
893	n/a (female)
1000	R1b1a1b1a1a
1091	R1b1a1b1a1a2
1069	I1a2a1a1a
900	R1b1a1b1a1a1c2b2a1b1a4b1
1000	I2a1b1a2b
1000	I1
1000	R1a1a1b1a
1000	R1b1a1b1a1a2c1b2a1a1
1000	J2
1000	I2a1b1a2b1a2a
1110	R1b1a1b1a1a2c1a4b2c1a
900	R1a1a1b1a3a
1134	n/a (female)
1000	I1a1
893	n/a (female)
939	R1a1a1b1a3a2a1
1097	L2
887	I1a2a1a1a
1092	n/a (female)
1000	I1
900	G2a2b2a1a1b1a
900	N1a1a1a1a1a2a1a2
900	R1b1a1b1a1a1c1a1
900	R1a1a1b1a3a
900	T1a2b1
900	N1a1a1a1a1a1a
900	R1b1a1b1a1a2b1c1b
900	I1a1b
900	R1a1a1b1a3a2
900	n/a (female)
900	R1b1a1b1a1a2a1b1a
900	I1a1b
900	R1b1a1b1a1a2c1
900	N1a1a1a1a1a1a
900	I1
900	J2a1a1b2a1b1
900	R1b1a1b1a1a1c2b1
900	R1b1a1b1a1a1c2b2b
900	R1b1a1b
900	I2a1b1a
975	n/a (female)
975	n/a (female)
975	N1a1a1a1a1a
975	R1b1a1b1a1a2
975	n/a (female)
975	n/a (female)
975	n/a (female)
975	n/a (female)
975	n/a (female)
975	R1a1a1b
975	n/a (female)
975	n/a (female)
975	n/a (female)
1097	n/a (female)
1000	I1a2a1a1d2
1097	R1b1a1b1a1a1c2b2a1b1b1
975	n/a (female)
975	R1a1a1b1a
975	R1a1a1
975	n/a (female)
975	n/a (female)
975	n/a (female)
975	n/a (female)
975	n/a (female)
975	n/a (female)
975	n/a (female)
975	N1a1a1a1a1a2a1a
975	n/a (female)
975	R1a1a1b1a2b
975	n/a (female)
975	R1b1a1b1a1a1c2b2b1a
975	R1b1a1b1a1a1c2b2a1b1a
975	R1a1
975	n/a (female)
975	I1a1b
975	E1b1b1b2a1a4
975	R1a1a1b1a2b
975	n/a (female)
975	n/a (female)
975	n/a (female)
975	G2a2b2a1a1b1a1a2a1a
975	R1a1a1b1a3a1a1a
975	I1a1a1a1a
975	N1a1a1a1a1a1a
900	n/a (female)
975	I2a1a2b1a1
975	n/a (female)
975	R1b1a1b1a1a
975	n/a (female)
975	R1a1a1b1a2b
975	n/a (female)
975	R1a1a1b1a2a
1500	..
1550	n/a (female)
1459	..
1550	n/a (female)
1550	O2a2b-F130
1550	O2a2-P201
1550	O1a2-F1081
1550	O1a1a1a1-CTS10963
1550	n/a (female)
1550	O1a2-F1081
1550	n/a (female)
1715	n/a (female)
1800	O2a2b2a2-F1903
1550	O2a2b2-CTS1366
1833	n/a (female)
1641	n/a (female)
1644	n/a (female)
1550	O2a2b2a2-F706
1473	n/a (female)
1857	n/a (female)
1595	n/a (female)
1550	n/a (female)
1496	n/a (female)
1550	O1a1a1a1-CTS1711
1235	n/a (female)
1575	O2a2a1a2a2-Y26412
1532	n/a (female)
1550	O1a1a1a1-CTS1711
1550	n/a (female)
1550	O1a-Page20
1550	n/a (female)
1459	n/a (female)
1550	..
1550	O1a1a1a-F518
1409	O1a1a1a-Z23466
1575	O2a2b2-F3223
1550	..
1550	n/a (female)
1550	..
1550	..
1550	n/a (female)
1550	n/a (female)
1550	n/a (female)
1550	n/a (female)
1550	..
1550	..
1550	n/a (female)
1550	n/a (female)
1550	n/a (female)
1357	n/a (female)
1357	n/a (female)
1357	n/a (female)
590	n/a (female)
1647	E1b1b1b2b2; E-V1486 (probably E-M293 but not covered)
1331	n/a (female)
1331	n/a (female)
1331	n/a (female)
1585	n/a (female)
1659	..
1666	..
1646	..
1659	..
844	n/a (female)
850	..
650	n/a (female)
650	..
650	..
650	n/a (female)
650	..
650	..
660	..
650	n/a (female)
850	..
1350	n/a (female)
1565	n/a (female)
1218	..
1150	n/a (female)
1150	n/a (female)
1150	n/a (female)
1150	..
1456	..
1346	..
1346	n/a (female)
1346	..
1346	..
1346	..
1346	..
1346	..
410	..
390	n/a (female)
377	..
386	..
475	..
475	n/a (female)
475	n/a (female)
475	n/a (female)
475	..
400	..
399	n/a (female)
400	n/a (female)
400	n/a (female)
464	..
562	..
529	..
450	n/a (female)
450	n/a (female)
437	..
1716	..
1665	..
1575	..
1648	..
1350	n/a (female)
750	..
750	..
851	n/a (female)
750	..
750	..
942	n/a (female)
750	n/a (female)
1308	..
1228	..
1222	..
1116	..
1200	n/a (female)
750	..
950	n/a (female)
950	..
1127	n/a (female)
1250	..
1400	..
1466	n/a (female)
1400	n/a (female)
1400	..
650	n/a (female)
1350	..
1350	n/a (female)
1350	..
1350	n/a (female)
1350	n/a (female)
1350	..
1250	n/a (female)
1478	n/a (female)
450	n/a (female)
1628	n/a (female)
1537	n/a (female)
1624	n/a (female)
700	R1a1a1b1a1a1c1
900	n/a (female)
900	I2a1a2b1a1a
900	I1
725	..
725	n/a (female)
725	..
725	..
725	..
100	..
315	n/a (female)
575	..
435	n/a (female)
405	n/a (female)
395	..
315	..
230	..
1065	n/a (female)
505	..
965	..
505	..
1550	n/a (female)
1550	..
1550	..
1550	..
1336	..
1550	n/a (female)
1456	..
1454	..
1447	..
1550	n/a (female)
1550	n/a (female)
1550	n/a (female)
1209	n/a (female)
1467	n/a (female)
1588	n/a (female)
1087	..
796	n/a (female)
1762	n/a (female)
919	n/a (female)
737	n/a (female)
1478	n/a (female)
950	n/a (female)
424	..
400	n/a (female)
950	n/a (female)
968	n/a (female)
799	n/a (female)
1011	n/a (female)
950	..
950	n/a (female)
1469	n/a (female)
1017	n/a (female)
300	n/a (female)
606	..
722	n/a (female)
400	n/a (female)
386	..
400	..
375	n/a (female)
400	n/a (female)
500	..
602	..
510	n/a (female)
400	..
475	n/a (female)
318	n/a (female)
382	n/a (female)
540	n/a (female)
400	..
400	n/a (female)
475	n/a (female)
423	..
400	n/a (female)
467	n/a (female)
500	n/a (female)
604	n/a (female)
400	..
475	..
600	..
400	..
400	..
400	n/a (female)
594	n/a (female)
400	n/a (female)
400	..
536	..
400	..
400	..
400	n/a (female)
400	..
521	..
475	..
600	n/a (female)
400	..
500	..
375	..
500	..
500	n/a (female)
525	n/a (female)
400	n/a (female)
499	..
1839	n/a (female)
1743	..
648	n/a (female)
859	n/a (female)
1018	n/a (female)
937	..
934	..
943	n/a (female)
334	..
1159	n/a (female)
1238	n/a (female)
1209	..
1204	..
1260	..
1260	..
1305	..
150	..
140	..
140	..
140	..
135	n/a (female)
150	..
140	..
215	n/a (female)
202	..
202	..
156	n/a (female)
400	..
400	n/a (female)
387	..
400	n/a (female)
480	n/a (female)
219	n/a (female)
1200	..
7250	n/a (female)
1586	R1a1a1b2a2b1-F1345
1008	R1b1
1787	Q1a1b1
579	..
733	L1
597	..
1551	n/a (female)
1008	n/a (female)
1553	n/a (female)
612	..
1318	n/a (female)
939	n/a (female)
939	..
939	n/a (female)
939	..
498	..
875	..
1089	n/a (female)
1620	..
1811	..
1811	..
1651	O3ac2
1651	..
1651	n/a (female)
1651	O3ac2
1651	..
1651	n/a (female)
1780	O3ac2
1651	..
1651	..
1789	..
1789	..
1789	n/a (female)
1789	..
1789	..
1789	Q1a2a1c
1275	O2a2b1a1a6
1275	O2a2b1a1a6
1275	O2a2b1a1a6
1275	n/a (female)
1275	..
1275	n/a (female)
1275	n/a (female)
1275	n/a (female)
1275	O
1046	n/a (female)
422	Q1b1a1a1i
388	n/a (female)
614	n/a (female)
1025	Q1b1a1a1
1021	Q1b1a1a1w
1660	n/a (female)
853	n/a (female)
935	Q1b1
455	Q1b1a1a1i
539	n/a (female)
1010	n/a (female)
1227	..
966	n/a (female)
914	n/a (female)
1223	n/a (female)
1017	Q1b1a
150	..
142	..
143	..
1227	..
870	..
612	n/a(Female)
612	Q1a2a1c
657	n/a(Female)
647	R1b1a2
647	n/a(Female)
654	n/a(SexUnknown)
652	n/a(SexUnknown)
1233	J
1235	..
1800	..
1800	..
1800	..
1800	..
1800	..
604	..
1311	..
1871	..
1381	..
1844	..
1825	..
1826	..
1642	..
857	..
1824	..
199	..
386	..
669	..
675	..
757	..
509	..
800	..
1550	..
1526	..
1550	..
1489	..
1372	..
1426	..
1372	..
1327	..
1384	..
227	..
445	..
386	..
400	..
400	..
393	..
433	..
400	..
378	..
405	..
1372	..
1465	..
1439	..
1479	..
1308	..
400	..
1372	..
1750	..
1750	..
1925	..
1742	..
1500	..
1465	..
1732	..
1800	..
604	..
1668	..
1587	..
1780	..
1735	..
1525	..
1587	..
1000	..
1000	..
1836	..
1798	..
1475	..
613	..
1465	..
1800	..
1500	..
1750	..
1750	..
1628	..
1650	..
1647	..
1628	..
1550	..
1209	..
1668	..
1639	..
1401	..
1525	..
960	..
850	..
1180	..
1218	..
1775	..
391	..
1789	..
1798	..
1800	..
1550	..
1550	..
1450	..
1773	..
1863	..
1725	..
1622	..
1625	..
1327	..
892	..
1863	..
1725	..
1880	..
1773	..
1465	..
1468	..
1525	..
1525	..
728	..
1279	..
1525	..
1119	..
1609	..
1675	..
1438	..
1374	..
1598	..
1675	..
1655	..
1639	..
1789	..
1616	..
1622	..
1587	..
1500	..
1650	..
1675	..
1675	..
1795	..
1769	..
1777	..
1798	..
1609	..
1659	..
1609	..
1547	..
388	..
1500	..
1500	..
1500	..
1500	..
1466	..
1381	..
1653	..
1675	..
1675	..
1825	..
1825	..
1475	..
1475	..
1581	..
1750	..
1639	..
1763	..
1836	..
1340	..
1235	..
1241	..
1750	..
1750	..
864	..
1616	..
1750	..
1750	..
1512	..
1475	..
1371	..
1475	..
1463	..
465	..
1780	..
1785	..
1178	..
1116	..
1863	..
404	..
1609	..
1625	..
1500	..
1500	..
1133	..
1699	..
1431	..
1450	..
1475	..
1512	..
904	..
1769	..
1729	..
1668	..
1461	..
1502	..
1603	..
1725	..
1681	..
1609	..
1525	..
1675	..
1661	..
465	..
1000	..
1470	..
1456	..
1360	..
1750	..
1750	..
1330	..
1360	..
1550	..
1550	..
1550	..
1550	..
1550	..
1550	..
1550	..
1550	..
1150	..
1250	..
1025	..
1025	..
970	..
1263	..
1250	..
1300	..
1300	..
1300	..
970	..
970	..
1228	..
1250	..
975	..
975	..
1300	..
1325	..
950	..
900	..
1008	..
1000	..
1513	..
1513	..
1200	..
1525	..
900	..
1150	..
1025	..
1025	..
1200	..
925	..
1288	..
950	..
970	..
1513	..
1000	..
900	..
1232	..
1244	..
1200	..
1230	..
975	..
1286	..
1000	..
1015	..
970	..
1265	..
1305	..
944	..
1000	..
1300	..
1275	..
1205	..
1150	..
1305	..
1011	..
1000	..
900	..
1270	..
1240	..
1200	..
1263	..
1150	..
1150	..
1000	..
1305	..
975	..
900	..
1008	..
975	..
900	..
1000	..
950	..
950	..
1200	..
1162	..
1025	..
1025	..
1000	..
1000	..
870	..
900	..
1200	..
1200	..
1300	..
1305	..
1325	..
1305	..
1220	..
1226	..
963	..
1150	..
1025	..
900	..
975	..
975	..
1241	..
1244	..
1150	..
1132	..
1022	..
1016	..
1300	..
1288	..
1000	..
1267	..
950	..
950	..
1500	..
1150	..
1250	..
1325	..
1325	..
1305	..
1305	..
1227	..
1285	..
1223	..
1275	..
1357	..
1265	..
975	..
1243	..
1228	..
1200	..
1226	..
970	..
1250	..
1121	..
1286	..
1005	..
1231	..
1250	..
970	..
970	..
1250	..
1250	..
1227	..
1597	..
1000	..
1000	..
1003	..
870	..
875	..
1000	..
1000	..
1000	..
1000	..
900	..
950	..
950	..
1325	..
1288	..
900	..
900	..
1150	..
1150	..
970	..
970	..
1410	..
1391	..
1175	..
1175	..
970	..
1265	..
1015	..
1020	..
1260	..
1137	..
975	..
975	..
1000	..
1000	..
1365	..
1227	..
1243	..
1270	..
1150	..
1200	..
1417	..
1223	..
857	..
1265	..
1290	..
970	..
1305	..
1000	..
1000	..
1230	..
1270	..
1000	..
1000	..
1009	..
1250	..
1000	..
1000	..
970	..
1200	..
1000	..
1000	..
1000	..
1000	..
1000	..
1000	..
1322	..
1270	..
1191	..
1200	..
1476	..
1265	..
1200	..
1200	..
1038	..
1100	..
1150	..
1156	..
1550	..
1350	..
975	..
1007	..
1090	..
1217	..
900	..
1000	..
970	..
970	..
1021	..
950	..
1300	..
1200	..
1300	..
1225	..
1270	..
1270	..
1200	..
1275	..
1069	..
1224	..
1150	..
1314	..
1275	..
1263	..
1263	..
1288	..
1175	..
1175	..
1333	..
1328	..
1265	..
1417	..
1367	..
975	..
975	..
1305	..
1509	..
1310	..
1265	..
1259	..
1270	..
970	..
1150	..
1150	..
1000	..
1000	..
975	..
925	..
1300	N1a1a1a1a3a2
1300	N1a1a1a1a3a
1300	n/a (female)
1300	Q1a2a1a4a~
1300	n/a (female)
1300	n/a (female)
1300	Q1b1a3b
1330	N1a1a1a1a
1175	n/a (female)
1200	n/a (female)
1500	n/a (female)
1500	I2a1b1a2b1~
1500	I1a2a1a1a1b
1500	I1a2a1a1a
1500	I1a
1500	n/a (female)
1500	I2a1b1a2b1a~
1500	n/a (female)
1550	n/a (female)
1550	n/a (female)
1550	R1b1a1b1a1a2b
1550	n/a (female)
1550	G2a1a1a1a1a1
1550	n/a (female)
1550	n/a (female)
1550	R1a1a1b2a2a1
1500	R1a1a1b2a2b2~
1200	n/a (female)
1300	N1a1a1a1a3a
1250	N1a1a1a1a3a
1175	N1a1a1a1a3a
1200	N1a1a1a1a3a
1300	n/a (female)
1300	N1a1a1a1a3a
1300	n/a (female)
1300	N1a1a1a1a3a
1300	N1a1a1a1a
1300	N1a1a1a1a3a
1300	N1a1a1a1a3a
1300	N1a1a1a1a3a
1325	R1a1a1b1a2a
1325	n/a (female)
