Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
601	..
998	..
641	..
1150	n/a (female)
750	n/a (female)
483	..
534	n/a (female)
598	n/a (female)
525	..
516	n/a (female)
525	n/a (female)
660	..
679	..
849	n/a (female)
852	..
859	..
673	..
800	..
615	..
859	..
974	n/a (female)
800	n/a (female)
1301	..
1175	n/a (female)
800	n/a (female)
1228	..
1175	..
800	n/a (female)
723	n/a (female)
516	..
597	n/a (female)
867	n/a (female)
625	n/a (female)
800	..
464	..
970	..
974	n/a (female)
800	n/a (female)
517	..
1218	..
800	..
768	..
930	n/a (female)
995	..
800	..
679	..
536	..
635	..
850	n/a (female)
1112	..
1002	n/a (female)
959	..
800	..
894	..
675	n/a (female)
694	..
862	..
675	..
930	n/a (female)
858	..
800	..
800	n/a (female)
855	..
800	..
935	n/a (female)
800	..
800	n/a (female)
800	..
1217	..
800	n/a (female)
800	n/a (female)
800	n/a (female)
604	..
600	..
624	n/a (female)
614	..
703	n/a (female)
543	..
849	..
1002	n/a (female)
894	n/a (female)
925	n/a (female)
1350	..
1350	n/a (female)
1350	n/a (female)
1350	..
1350	..
1350	n/a (female)
1350	..
1350	n/a (female)
1350	..
1350	..
1350	n/a (female)
1350	n/a (female)
1350	n/a (female)
1350	..
1350	n/a (female)
1350	n/a (female)
1250	..
1250	..
1250	..
1225	..
1276	..
1311	..
1324	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1400	..
1400	n/a (female)
1400	..
1400	n/a (female)
1400	n/a (female)
1200	..
1350	..
1350	..
1350	..
1350	..
1350	..
1350	..
1350	..
1350	n/a (female)
1350	..
1350	n/a (female)
1450	..
1450	..
1450	n/a (female)
1450	..
1450	n/a (female)
1450	..
1450	n/a (female)
1450	..
1450	..
1450	..
1450	..
1450	n/a (female)
1450	n/a (female)
1450	..
1450	..
1450	..
1450	..
1450	..
1450	..
1450	n/a (female)
1450	..
1450	n/a (female)
1450	n/a (female)
1450	n/a (female)
1450	n/a (female)
1450	..
1450	..
1450	..
1450	n/a (female)
1450	n/a (female)
1450	n/a (female)
1450	n/a (female)
1450	..
1450	n/a (female)
1450	..
1450	..
1450	..
1450	n/a (female)
1450	..
1450	n/a (female)
1450	..
1450	n/a (female)
1227	n/a (female)
1234	n/a (female)
1157	n/a (female)
1250	n/a (female)
1449	n/a (female)
1479	n/a (female)
1469	n/a (female)
1465	n/a (female)
1175	n/a (female)
1200	..
1380	n/a (female)
1409	n/a (female)
1425	n/a (female)
1320	..
1300	..
1450	n/a (female)
1400	..
1383	..
1263	n/a (female)
856	..
860	..
1225	n/a (female)
1450	..
1450	n/a (female)
1450	..
1450	n/a (female)
1409	..
1450	n/a  (sex unknown)
1450	n/a (female)
1425	..
886	..
1450	..
1227	n/a (female)
1234	n/a (female)
1157	n/a (female)
1449	n/a (female)
1479	n/a (female)
1469	n/a (female)
1465	n/a (female)
1200	I1
1350	n/a (female)
1750	J2b1
1750	R1b1a1b1a1a1c1a2
1750	R1b1a1b1a1a2c1a1i
1750	R1b1a1b1a1a2c1b1
1750	R1b1a1b1a1a2b1
1750	R1b1a1b1a1a2e1
1750	R1b1a1b1a1a1c1a1
1300	..
1825	R1b1a1b1a1a2c1a6a1
1825	I2a1a1a1a1a1~
1825	n/a (female)
1976	R1b1a1b
1786	n/a (female)
1200	n/a (female)
1200	I
1200	R
1200	..
1200	..
1200	n/a (female)
1200	n/a (female)
1200	..
1200	..
1200	..
1200	..
1200	..
1200	..
1200	..
1200	n/a (female)
1200	..
1200	..
1200	n/a (female)
1200	..
1200	..
1200	n/a (female)
1200	n/a (female)
1200	..
1200	n/a (female)
1200	..
1200	..
1200	..
1200	n/a (female)
1200	n/a (female)
1200	..
1200	..
1200	n/a (female)
1400	n/a (female)
1200	n/a (female)
1200	..
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	..
1200	..
1200	n/a (female)
1200	..
1200	n/a (female)
1200	n/a (female)
1200	..
1200	n/a (female)
1200	..
1200	..
1200	..
1200	..
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	..
1200	n/a (female)
1200	n/a (female)
1200	..
1200	..
1200	..
1200	n/a (female)
1200	..
1200	n/a (female)
1200	..
1200	n/a (female)
1200	..
1200	..
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	n/a (female)
1200	..
