Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
3380	R1b1a1b1a1a2c1
3271	n/a (female)
3107	R1b1a1b1a1a2c1
3198	R1b1a1b1a1a2c1
3080	n/a (female)
3231	n/a (female)
3268	n/a (female)
3307	R1b1a1b1a1a2c1
3223	n/a (female)
3331	n/a (female)
3116	n/a (female)
3087	n/a (female)
3349	n/a (female)
9257	n/a (female)
10546	n/a (female)
10280	I2a1b2
9257	n/a (female)
10280	I2a2
10393	I2
10393	IJK
9257	n/a (female)
10546	n/a (female)
10280	I2a2
2250	R1b1a1b1a1
2241	n/a (female)
2292	n/a (female)
2227	R1b1a1b1a1a2c1
2227	R1b1a1b1a1a2c1
2285	R1b1a1b1a1a2c1a5c2
2229	R1b1a1b1a1a2c1a5
2227	R1b1a1b1a1a2c1b2a1a1a
2225	n/a (female)
2326	R1b1a1b1a1a2a
2225	R1b1a1b1a1a2c1a5
2230	R1b1a1b1a1a2c1a5b1a1a
2250	R1b1a1b1a1a2c1
2224	R1b1a1b1a1a2c1a1k
2265	n/a (female)
2222	n/a (female)
2259	n/a (female)
2243	n/a (female)
2227	R1b1a1b1a1a2
2350	n/a (female)
2237	R1b1a1b1a1a2c1a2a
2246	R1b1a1b1a1a2c1
2269	R1b1a1b1a1a2
2224	R1b1a1b1a1a2c1a1a1a1
2222	n/a (female)
2235	R1b1a1b1a1a2c1
2267	n/a (female)
2349	n/a (female)
2228	R1b1a1b1a1a2c1
2214	n/a (female)
2247	n/a (female)
2233	n/a (female)
2230	n/a (female)
2241	R1b1a1b1a1a2c1a1a
2274	n/a (female)
2254	n/a (female)
2227	R1b1a1b1a1a2
2231	n/a (female)
2225	n/a (female)
2226	I2a1b1a1a1
2311	R1b1a1b1a1a2c
2231	R1b1a1b1a1a2c1a6
2228	n/a (female)
2236	n/a (female)
2283	R1b1a1b1a1a2c1a1a
2295	R1b1a1b1a1a2c1
2267	R1b1a1b1a1a2c1a5b1a1a2
2227	R1b1a1b1a1a2c1
2227	n/a (female)
2226	R1b1a1b1a1a2c1
2224	R1b1a1b1a1a2c1
2228	R1b1a1b1a1a2c1
2238	G2a2b2a1a1b1a1a2a1a1
2228	R1b1a1b1a1a2
2232	R1b1a1b
2201	n/a (female)
2250	R1b1a1b1a1a2c1
2247	n/a (female)
2250	R1b1a1b1a1a
2250	n/a (female)
2231	R1b1a1b1a1a2c1
2250	n/a (female)
2275	n/a (female)
2250	R1b1a1b1a1a2b1c1b
2250	n/a (female)
2250	n/a (female)
2250	n/a (female)
2227	R1b1a1b1a1a2c1
2250	n/a (female)
2250	R1b1a1b1a1a2c1
2222	n/a (female)
2233	n/a (female)
2217	n/a (female)
2250	R1b1a1b1a1a2c1
2244	R1b1a1b1a1a2c1
2225	G2a2b2a1a1b
2250	R1b1a1b1a1a2b1c1a1a1
2231	n/a (female)
2227	n/a (female)
2220	n/a (female)
2250	n/a (female)
2228	n/a (female)
2267	R1b1a1b1a1a2c1
2250	R1b1a1b1a1a2c1a1k
2250	R1b1a1b1a1a2c1
2263	n/a (female)
2225	n/a (female)
2233	R1b1a1b1a1
2240	R1b1a1b1a1a
2224	R1b1a1b1a1a2c1
2233	R1b1a1b1a1a2c1
2254	n/a (female)
2250	..
2145	R1b1a1b1a1a2a
2179	G2a2b2a1a1b1a1a2b
2116	R1b1a1b1a1a2c1
2095	R1b1a1b1a1a2c1
2200	n/a (female)
2200	n/a (female)
2200	n/a (female)
2200	R1b1a1b1a1a2c1
2200	R1b1a1b1a1a2c1
2153	n/a (female)
2133	R1b1a1b1a1a2c1
2120	R1b1a1b1a1a2c1
2199	R1b1a1b1a1a2
2134	n/a (female)
2082	n/a (female)
2079	F
2148	F
2198	R1b1a1b
2176	n/a (female)
2114	n/a (female)
2225	R1b1a1b1a1a2c1
2183	n/a (female)
2225	n/a (female)
2200	n/a (female)
2245	n/a (female)
2183	n/a (female)
2200	n/a (female)
2200	R1b1a1b1a1a2c1
2161	n/a (female)
2175	n/a (female)
2186	I2a1b1a1a1b1a
2225	n/a (female)
2194	R1b1a1b
2092	R1b1a1b
2118	I2a1b1b
2131	R1b1a1b1a1a2c1a5c
2175	..
2175	n/a (female)
2175	R1b1a1b
2176	R1b1a1b1a1a2b1
2176	n/a (female)
2176	n/a (female)
2176	n/a (female)
2176	n/a (female)
2176	R1b1a1b1a1a2c1
2225	I2a1b1a1a1b1a
2173	R1b1a1b1a1a2
2200	n/a (female)
2200	R1b1a1b1a1a2c1a5c
2200	n/a (female)
2231	n/a (female)
2229	n/a (female)
2225	R1b1a1b1a1a2c1a5c
2117	R1b1a1b1a1
2058	R1b1a1b1a1a2c1
2165	R1b1a1b1a1a2c1
2115	n/a (female)
2078	n/a (female)
2096	R1b1a1b1a1a2c1
2165	R1b1a1b1a1a2
2095	n/a (female)
2200	n/a (female)
2200	n/a (female)
2175	..
2175	..
2200	n/a (female)
2200	n/a (female)
2175	R1b1a1b1a1a
2225	n/a (female)
2264	n/a (female)
5180	I2a1b
5180	I2a1a2
5180	I2
4908	n/a (female)
5700	I2a1b1a1a1
5397	n/a (female)
5065	I2a1b1a1a1
5657	n/a (female)
5525	I2a1b1
5533	I2a1b1a1a1b
5417	I2a1b1a1a1
5516	n/a (female)
4480	CT
4850	I2a1b1a1a1
5526	n/a (female)
5528	I2a1b1a1a1
5650	I2a1b1a1a1b
5650	n/a (female)
5305	I2a1b1a1a1
5528	I2a1b1a1a1b
5493	I2a1b1a1a1b
5527	I2a1a2
5781	I2a1b1a1a1
5525	n/a (female)
5700	I2a1b1a1a1b
5525	I2a1b1
5525	I2a2a
5525	..
5525	I2a2a
4850	I2a2a1
5526	n/a (female)
5528	I2a2a1a1a
5650	..
5650	n/a (female)
5305	I2a2a1a1a
5528	I2a2a1
5781	I2a2a1a1a2
5700	..
4480	I
5600	I2a1b1a1a1
5600	I2a1b1a1a1
5600	n/a (female)
5624	n/a (female)
5600	..
5526	..
5677	I2a1b1a1a1
5517	I2a1b1a1a1
5486	n/a (female)
5600	..
5569	..
5600	..
5486	..
5575	n/a (female)
5575	..
5575	n/a (female)
5600	..
5630	n/a (female)
4939	R1b1a1b1a1a2c1
5700	R1b1a1b1a1a1c1a2b
5813	CT
5150	R1b1a1b
5417	..
5657	n/a (female)
5525	..
5533	..
5516	n/a (female)
4480	I
4850	I2a2a1
5526	n/a (female)
5528	I2a2a1a1a
5650	..
5650	n/a (female)
5305	I2a2a1a1a
5528	I2a2a1
5493	I2a2a1a1a2
5527	..
5781	I2a2a1a1a2
5525	n/a (female)
5700	..
5639	I2a2a
5418	I2a1b1a1a1
2950	n/a  (sex unknown)
2936	..
2750	n/a (female)
3046	n/a  (sex unknown)
2583	n/a  (sex unknown)
2740	..
2918	..
3130	..
2434	..
3072	..
2937	..
2819	..
3075	..
2906	..
2767	..
2580	..
3037	..
2819	..
2787	..
3049	..
4416	..
4652	R1a-Z645
4195	n/a (female)
4400	..
4416	..
4442	n/a (female)
4652	R1a-Z645
6594	..
6760	n/a (female)
2389	n/a (female)
2572	..
2462	n/a (female)
2222	..
2609	..
2573	..
2229	n/a (female)
2104	..
2493	..
2345	..
4620	n/a (female)
5407	n/a (female)
5666	..
5586	n/a (female)
5488	..
4470	..
4470	..
4470	..
4470	..
4289	..
6600	..
6662	n/a (female)
6625	..
3737	..
3750	n/a (female)
3350	..
4250	..
4195	..
4331	..
4179	n/a (female)
4323	..
4361	..
4361	..
4198	..
4516	n/a (female)
4179	n/a (female)
4323	..
7237	..
7237	..
8218	I
3728	..
3732	n/a (female)
3527	..
3642	..
4218	n/a (female)
3765	..
4065	n/a (female)
3985	..
4299	n/a (female)
7359	n/a (female)
7363	I2a1a2
6740	I2a1b1a1b
6991	I2a1b1a1b
6680	n/a (female)
6797	n/a (female)
7051	I2a1b
7361	n/a (female)
4534	..
3600	R1b1a1b
3850	R1b1a1a2
3850	n/a (female)
3774	R1b1a1b1
3750	n/a (female)
4030	R1b1a1b1
3600	R1b1a1b
3664	n/a (female)
7019	n/a (female)
7031	n/a (female)
7025	C1a2
2450	n/a (female)
2700	n/a (female)
2700	n/a (female)
2500	n/a (female)
2500	n/a (female)
2200	..
2200	n/a (female)
2200	..
2200	..
2200	n/a (female)
2200	n/a (female)
2200	n/a (female)
2200	..
2200	..
2200	..
2200	..
2200	..
2200	n/a (female)
2200	..
2200	..
2200	..
2200	n/a (female)
2200	..
2200	..
2200	n/a (female)
2200	..
2200	..
2290	n/a (female)
2290	n/a (female)
2290	n/a (female)
2200	n/a (female)
2200	n/a (female)
2200	n/a (female)
2825	n/a (female)
5867	n/a (female)
6050	n/a (female)
6112	I2a1a2
6250	H2a1
5396	n/a (female)
6600	I2a1a2a
6644	I2a1a2
6600	I2a1a2
6619	n/a (female)
5494	H2
6963	H2a1
2200	n/a (female)
2175	n/a (female)
4447	R1b1a1a2
6065	I2a1b1b
6500	I2a1a2
11675	..
11675	..
11741	..
3861	n/a (female)
4476	n/a (female)
4973	..
4574	n/a (female)
4474	n/a (female)
4336	..
3598	n/a (female)
5346	..
5047	n/a (female)
5166	..
5163	..
5159	n/a (female)
5165	..
9933	n/a (female)
5400	..
5396	n/a  (sex unknown)
5400	..
4950	n/a (female)
3314	n/a (female)
6414	H2
5972	H2
6376	G2a2a1
6512	H2
6301	G2a2a1
6326	G2a2a1a
6345	G2a2a
6356	n/a (female)
6426	H2
6450	G2a2b2a1
6450	G2a2b2a1
6450	n/a (female)
6407	G2a2b2a1
6593	n/a (female)
6450	n/a (female)
6450	G2a2b2a1
6450	H2
6450	G2a2b2a
6450	n/a (female)
6690	G2a2b2a1
6671	n/a (female)
6088	n/a (female)
6450	G2a2b2a
6450	H2
6450	G2a2b2a
6450	G2a2b2a1
6571	n/a (female)
6450	n/a (female)
6450	G2a2b2a1a
6450	n/a (female)
6615	G2a2b2a1
6700	n/a (female)
6528	I2a1a2
6888	I2a1a2
7026	C1a2b
6377	I2a1a2
6543	n/a (female)
6398	n/a (female)
6700	n/a (female)
6549	I2a1a2
6218	I2a1a2a
6150	n/a (female)
6150	n/a (female)
6624	..
6637	..
6680	n/a (female)
5450	n/a (female)
6609	n/a (female)
6544	n/a (female)
5115	n/a (female)
5157	..
5164	n/a (female)
5162	..
4851	n/a (female)
5166	..
4950	..
5160	n/a (female)
5184	..
5165	..
5161	..
5700	..
5700	..
5700	n/a (female)
5700	..
5000	n/a (female)
5000	n/a (female)
9050	I2a1b2
9050	n/a (female)
9050	n/a (female)
3882	R1b1a1b
3995	R1b1a1b1a
4170	R1b1a1b1
3600	n/a (female)
3600	R1b1a1b
2450	I1
2400	R1b1a1b1
2400	R1b1a1b1
2250	R1b1a1b
2250	n/a (female)
2375	n/a (female)
4736	n/a (female)
4750	n/a (female)
3584	n/a (female)
6250	n/a (female)
6293	n/a (female)
3950	..
10134	n/a (female)
15458	n/a (female)
13027	..
13027	..
2250	..
2250	..
2250	..
2250	..
2250	n/a (female)
2250	n/a (female)
2250	..
9678	..
13282	..
3543	..
4399	n/a (female)
4303	n/a (female)
4224	n/a (female)
4146	n/a (female)
4217	R1b1a2a1a2
4225	n/a (female)
4225	n/a (female)
4175	..
4175	..
4186	n/a (female)
4175	n/a (female)
4175	n/a (female)
4175	n/a (female)
4200	..
4267	n/a (female)
4411	..
4200	n/a (female)
4200	n/a (female)
4250	n/a (female)
4250	n/a (female)
4250	n/a (female)
4250	n/a (female)
4250	..
4250	n/a (female)
4200	n/a (female)
4200	..
4200	..
4200	n/a (female)
4250	n/a (female)
4250	n/a (female)
4200	n/a (female)
4200	n/a (female)
4200	n/a (female)
4222	R1
4207	n/a (female)
4175	..
4250	n/a (female)
4200	..
4200	..
4200	..
4175	..
4252	R1b1a2
4260	n/a (female)
4200	n/a (not published)
4267	n/a (female)
4411	n/a (not published)
4200	R1b1a1b1a1a2b1 (R-L2)
4200	n/a (female)
4250	..
4200	n/a  (sex unknown)
4250	..
4214	n/a (female)
4175	n/a (female)
4200	..
4186	n/a (female)
4220	n/a (female)
4200	n/a (female)
4200	..
4200	..
4175	..
4200	..
4179	n/a (female)
4118	n/a (female)
5448	n/a (female)
5527	R1b1
5140	R1
5674	..
8205	n/a (female)
14817	..
14620	I
4295	n/a (female)
4472	n/a (female)
4358	..
4297	n/a (female)
4225	..
4225	..
4225	..
4420	n/a (female)
4225	..
4225	..
4225	..
4225	..
4627	n/a (female)
4671	..
4703	..
4486	..
3815	n/a (female)
3978	..
4092	n/a (female)
3906	n/a (female)
3977	n/a (female)
4010	I2
4002	..
3923	n/a (female)
6975	G2a2b
6975	G2a2b
6975	G2
6975	n/a  (sex unknown)
6975	G2a2a1
6975	G2a2a
6975	G2a2b2a1
7168	n/a (female)
7125	n/a (female)
7125	n/a (female)
7125	n/a (female)
7074	n/a (female)
7059	..
6944	n/a (female)
7071	..
7125	..
6946	..
7125	n/a (female)
7050	n/a (female)
7050	CT
7050	n/a (female)
7050	n/a (female)
7050	n/a (female)
7050	CT
7050	n/a (female)
7050	n/a (female)
7091	C1a2b
7045	
7116	n/a (female)
7110	H2
7099	H2
7100	n/a (female)
7176	H2
7093	H2
7081	n/a (female)
7024	H2
7106	H2
7101	n/a (female)
7060	H2
6800	H2
7092	n/a (female)
7100	n/a (female)
7068	H2
7069	n/a (female)
7152	n/a (female)
7130	n/a (female)
7199	
7100	n/a (female)
7086	F
7100	n/a (female)
7068	n/a (female)
7010	F
7091	n/a (female)
7100	H2
7125	..
7041	n/a (female)
7057	..
7070	n/a (female)
7031	..
6938	..
7125	n/a (female)
7041	n/a (female)
7125	n/a (female)
7125	..
7100	n/a (female)
7125	n/a (female)
7125	n/a (female)
7125	n/a (female)
7050	..
7125	n/a (female)
7125	n/a (female)
7100	n/a (female)
7125	..
7168	n/a (female)
9161	..
9161	F
15491	..
14691	..
3024	..
4356	..
4089	n/a  (sex unknown)
4167	n/a (female)
4385	..
4203	n/a (female)
4289	..
4103	n/a (female)
4278	n/a (female)
4200	..
4250	n/a (female)
4250	n/a (female)
4250	G2a2a1
4347	n/a (female)
4208	R1b1a2a1a2
4193	R1b1a2a1a2
4250	n/a (female)
4356	P1/K2b2a
4289	R1b1a2
4278	n/a (female)
4200	..
4200	n/a (not published)
4242	..
4334	n/a (female)
4167	n/a (female)
4203	n/a (female)
4103	n/a (female)
4347	n/a (female)
4334	n/a (female)
4307	..
4307	F
4795	..
4704	..
3747	R1b1a2a1a
3662	R1b1a2a1a2
3753	R1b1a2a1a2
3836	BT
3746	R1b1a2
3760	R1b1a2a1a2
3773	R1b1a2a1a
3732	..
3728	n/a (female)
3761	n/a (female)
3901	R1b1a2a1a2
3776	R1b1a2a1a2
3743	n/a (female)
3748	R1b1a2a1a2
3761	n/a (female)
3671	n/a (female)
3605	R1b1a2a1a2
3883	..
3906	n/a (female)
3935	n/a (female)
3921	n/a (female)
3863	n/a (female)
4000	R1b1a2a1a2
3875	n/a (female)
3922	n/a (female)
3971	n/a (female)
3917	R1b1a2a1a2
3932	n/a (female)
3997	P1/K2b2a
3873	R1b1a2a1a2
3946	..
3962	n/a (female)
3904	BT
3839	R1b1a2a
3910	R1b1a2
3785	n/a (female)
3835	n/a (female)
3926	R1b1a2a1a2
3899	CT
3924	CT
3883	I
4012	..
3906	R1b1a2a1a2
4023	R1b1a2a1a2
4045	R1b1a2a1a2
3902	R1b1a2a1a
3772	..
3728	n/a (female)
3596	..
3850	n/a (female)
3764	n/a (female)
3753	..
4005	n/a  (sex unknown)
4012	..
3911	n/a (female)
3910	n/a (female)
3908	n/a (female)
3917	n/a (female)
3863	n/a (female)
3902	n/a (female)
3950	n/a (female)
3930	n/a (female)
3922	n/a (female)
3848	n/a (female)
3823	n/a (female)
3908	n/a  (sex unknown)
3926	..
3899	..
3924	..
3785	n/a (female)
3944	..
3692	n/a (female)
3692	n/a (female)
3872	n/a (female)
3872	n/a (female)
3906	..
3918	n/a (female)
3933	n/a (female)
3728	n/a (female)
3761	n/a (female)
3743	n/a (female)
3761	n/a (female)
3671	n/a (female)
3906	n/a (female)
3935	n/a (female)
3918	n/a (female)
3911	n/a (female)
3910	n/a (female)
3933	n/a (female)
3917	n/a (female)
3863	n/a (female)
3902	n/a (female)
3930	n/a (female)
3932	n/a (female)
3962	n/a (female)
3922	n/a (female)
3848	n/a (female)
3823	n/a (female)
3908	n/a  (sex unknown)
3835	n/a (female)
3828	n/a (female)
3828	n/a (female)
3507	n/a (female)
3709	CT
3448	R/K2b2a2
3513	..
3513	..
3516	n/a (female)
3515	..
3527	n/a (female)
3602	n/a (female)
3572	n/a (female)
3497	n/a (female)
3503	n/a (female)
3540	n/a (female)
3283	n/a (female)
3886	n/a (female)
4036	n/a (female)
3527	n/a (female)
3507	n/a (female)
3886	n/a (female)
4036	n/a (female)
3950	n/a (female)
4325	n/a (female)
4469	n/a (female)
5107	
5208	I2a2a1b
8600	n/a (female)
7550	I
7548	n/a (female)
5530	R
5471	n/a (female)
5799	..
5155	..
5350	..
5163	..
5164	n/a (female)
5163	IJK (x J)
6400	n/a (female)
8277	n/a (female)
4246	..
3808	..
3900	..
3963	n/a (female)
3742	..
3917	..
3900	..
3791	n/a (female)
3758	..
3931	n/a (female)
4051	..
3946	..
3946	..
4002	..
4039	n/a (female)
3913	..
3913	..
2569	..
4463	n/a  (sex unknown)
4425	n/a (female)
4453	..
4453	R1b1a2a1a
4425	n/a (female)
4425	n/a (female)
3200	I2a2
5050	n/a (female)
3200	R1
3200	I2a2a1a2a1a1
3200	I2a2
3200	R1b1a2a1a2
3200	I2a2
3200	R1b1a2a1
3200	I2a2a
3200	R1b1a2
3200	R1b1a2a1a2
3200	R1b1a2a1
3200	I2
3200	R1b1a2a1a2
3200	n/a (female)
3200	I2a2a
3200	I2a2
3200	n/a (female)
3200	I2a2a
3600	..
3600	..
3600	..
6950	n/a (female)
42436	n/a (female)
2600	..
2600	..
3165	n/a (female)
3335	n/a (female)
3085	..
3430	..
3425	n/a (female)
3417	n/a (female)
3466	n/a (female)
3369	..
3278	n/a (female)
2960	n/a (female)
3283	n/a (female)
3250	n/a (female)
3250	..
3278	..
3085	..
3085	..
3165	n/a (female)
3278	..
3296	n/a (female)
3305	n/a (female)
3243	..
3200	..
3262	n/a (female)
3216	..
3200	n/a (female)
3143	n/a (female)
2594	..
4250	n/a  (sex unknown)
4250	n/a  (sex unknown)
3497	..
6348	..
6348	n/a (female)
4250	n/a  (sex unknown)
4250	n/a  (sex unknown)
4250	n/a  (sex unknown)
3768	n/a (female)
4250	n/a  (sex unknown)
4000	..
4000	n/a (female)
4000	..
4000	n/a (female)
4000	n/a (female)
3895	n/a (female)
3895	n/a (female)
3895	n/a (female)
3895	..
3895	n/a (female)
7883	n/a (female)
8316	n/a (female)
5935	n/a (female)
7360	n/a (female)
6500	n/a (female)
5860	n/a (female)
5734	n/a (female)
7360	n/a (female)
3885	..
2518	n/a (female)
2623	..
2420	..
2693	..
2593	..
2742	n/a (female)
2703	..
2644	n/a (female)
2550	n/a (female)
2550	n/a (female)
2728	n/a (female)
2550	n/a (female)
2550	..
2632	n/a (female)
2630	n/a (female)
2708	n/a (female)
2719	..
2674	n/a (female)
2550	n/a (female)
2550	n/a (female)
2518	n/a (female)
2628	..
2632	n/a (female)
2550	n/a (female)
2550	n/a (female)
2732	..
2550	n/a (female)
2208	..
2151	n/a (female)
3850	..
5019	n/a (female)
6050	n/a (female)
6086	n/a (female)
6050	n/a (female)
6231	CT
6050	n/a (female)
6183	n/a (female)
6200	..
6200	..
6200	..
6273	..
6200	..
4220	..
4299	..
4245	..
4270	..
4254	..
4364	..
4300	n/a (female)
4305	n/a (female)
4300	..
4300	..
4231	n/a (female)
4026	n/a (female)
4026	n/a (female)
4300	n/a (female)
4011	R1b1a1b1a1a4
4000	..
2841	..
2809	..
2525	..
2550	n/a (female)
2586	n/a (female)
2725	n/a (female)
2725	n/a (female)
2725	n/a (female)
2725	n/a (female)
2725	n/a (female)
2725	n/a (female)
2750	n/a (female)
7661	..
7599	..
7661	I2a1
7700	n/a (female)
7564	n/a (female)
7700	..
7700	n/a (female)
7591	n/a (female)
7700	n/a (female)
7558	..
7541	..
7687	..
7600	..
7567	..
6010	CT
2200	n/a (female)
2185	..
2312	n/a (female)
2240	n/a (female)
2200	..
2200	..
2200	n/a (female)
2200	..
2230	..
2200	..
2210	n/a (female)
2210	..
2200	n/a (female)
2200	n/a (female)
2256	n/a (female)
2150	n/a (female)
2150	n/a (female)
2150	..
2150	n/a (female)
2150	..
2150	n/a (female)
2235	..
2240	..
2210	..
2200	n/a (female)
2150	n/a (female)
2185	n/a (female)
2239	n/a (female)
2295	n/a (female)
2250	..
2131	n/a (female)
2218	..
2210	..
2210	n/a (female)
2210	..
2849	N
2441	..
2472	n/a (female)
2328	n/a (female)
2572	n/a (female)
2426	..
2310	n/a (female)
7591	n/a (female)
5019	n/a (female)
5186	..
5122	n/a (female)
5169	..
5175	I2a1
5085	..
5140	..
5175	..
5172	n/a (female)
5175	n/a (female)
5025	G2a2b2a
5118	..
5085	..
5100	..
5100	..
5097	n/a (female)
5100	n/a (female)
5685	..
5650	..
5625	n/a (female)
5523	..
2240	..
2240	n/a (female)
2240	..
2240	n/a (female)
3200	n/a (female)
2875	..
2911	n/a (female)
3200	n/a (female)
2950	..
2858	..
2858	J2a1
6367	..
6000	n/a (female)
6550	C
6686	..
6550	..
6550	..
6550	..
6367	I2a1
6550	..
6664	..
6550	H1b1
6875	..
6913	n/a (female)
6895	G2a
6754	n/a (female)
6873	..
6743	..
6700	I2a1
6700	n/a (female)
6700	..
6700	..
6700	n/a (female)
6700	n/a (female)
3893	n/a (female)
3982	n/a (female)
3751	n/a (female)
3643	..
3900	..
3948	..
3700	..
3607	..
3550	n/a (female)
3700	n/a (female)
3700	n/a (female)
6086	..
7050	n/a (female)
7050	n/a (female)
7050	n/a (female)
7094	n/a (female)
7058	..
7057	n/a (female)
7146	n/a (female)
7068	..
7050	..
7077	n/a (female)
7077	n/a (female)
7050	..
7050	n/a (female)
7050	..
7050	..
7114	I2
7094	n/a (female)
7050	..
7050	..
7050	n/a (female)
7350	n/a (female)
7350	..
7366	n/a (female)
7050	..
7050	..
7001	I2a2a
7050	..
6984	..
7050	n/a (female)
7058	C1a2
7057	n/a (female)
6150	n/a (female)
6950	..
7002	n/a (female)
7040	..
7050	..
7010	..
7050	n/a (female)
7050	n/a (female)
7050	n/a (female)
7146	G2a
7158	..
7040	..
7146	n/a (female)
7150	..
6943	G2a2a
7150	n/a (female)
7190	..
7228	n/a (female)
7195	n/a (female)
2217	n/a (female)
4300	n/a (female)
2161	..
6539	n/a (female)
6677	..
5819	n/a (female)
6690	n/a (female)
5831	..
5522	..
4838	..
4564	n/a (female)
4347	..
5566	n/a (female)
5533	n/a (female)
4043	n/a (female)
4707	..
4715	n/a (female)
4715	n/a (female)
4447	..
4625	n/a (female)
5522	..
5533	n/a (female)
3771	..
3775	n/a (female)
3450	..
3842	n/a (female)
2898	n/a (female)
3774	n/a (female)
3450	n/a (female)
3291	n/a (female)
3743	..
3028	n/a (female)
2877	..
3112	..
3257	n/a (female)
2967	n/a (female)
9806	n/a (female)
9800	n/a (female)
9800	P1(xQ,R1b1a2,R1a1a1b1a1b,R1a1a1b1a3a,R1a1a1b2a2a) 
9992	..
10042	CT
9848	n/a (female)
10162	..
10000	..
9952	..
4312	n/a (female)
4312	n/a (female)
3050	..
3050	..
7910	n/a (female)
7900	..
7904	..
7747	..
7920	n/a (female)
7910	n/a (female)
7900	..
7904	..
2582	n/a (female)
2911	..
2898	..
2967	..
2821	n/a (female)
3015	..
3198	..
2977	..
2907	..
2850	..
3022	..
3128	n/a (female)
3151	n/a (female)
2911	n/a (female)
2824	..
2806	..
2753	..
2737	..
3304	..
2833	..
3378	n/a (female)
4042	..
11950	n/a  (sex unknown)
11950	n/a  (sex unknown)
10800	..
4844	..
4600	..
4600	n/a (female)
4500	..
4796	n/a (female)
4942	n/a (female)
4900	..
4862	..
4900	n/a (female)
4600	..
5000	n/a (female)
5000	n/a (female)
4500	n/a (female)
4699	..
4200	n/a (female)
4800	..
5000	..
4500	..
4600	..
4600	n/a (female)
4500	n/a (female)
4600	..
4699	..
4200	n/a (female)
4500	..
5115	n/a (female)
4800	..
4600	..
4600	n/a (female)
4750	n/a (female)
9925	n/a (female)
9921	..
9918	n/a (female)
9214	..
9450	..
9450	n/a (female)
9450	..
9450	n/a (female)
10700	..
10700	n/a (female)
10059	n/a (female)
10125	..
10281	..
3897	R1b1a1b1a1a2c1a5
3819	R1b1a1b1a1a2c1a5c
3580	R1b1a1b1a1a2c1
5609	I2a1a1b
5545	n/a (female)
5546	I2a1b1a1a1b
5558	I2a1b1a1a1
5572	I2a1a2a1a2a
5742	I2a1b1a1a1
5729	I2a1b1a1a1b
5746	n/a (female)
5705	I2a1b1a1a1
4711	n/a (female)
4701	I2a1b1a1a1
4892	I2a1b1a1a1
4926	n/a (female)
4503	I2a1b1a1a1
5517	I2a1b1a
5665	n/a (female)
5643	I2a1b1a1a1b
5480	n/a (female)
5398	I2a1b1a1a1
5522	I2a1b1a1a
5650	I2a1b1a1a1
5403	I2a1b1a1a1b
5539	I2a1b1a1a1
5643	I2a1a2
5657	..
6658	I2a1a2
6001	I2a1b2
5483	HIJK
5405	I2a1b1a1a1b
5521	I2a1b1a1a
5401	I2a1a2
5501	I2a1b1a1a1b
5467	H
5517	I2a1a2
5288	I2a1b1a1a1
5135	I2a1b1a1a1
5192	I2a1b1a1a1
5151	I2a1b1a1a1
5024	n/a (female)
5407	I2a1b1a1a1b
5486	n/a (female)
5393	I2a1a1b
5431	I2a1a1b
5474	I2a1a2
5413	I2a1b1a1a1
5442	I2a1a1b
5171	I2a1a1b
5375	n/a (female)
5475	I2a1a1b
5460	I2a1b1a1a1
5459	I2a1a1b
5410	I2a1b1a1a1
5383	I2a1b1a1a1
5442	n/a (female)
5131	n/a (female)
4800	I
4025	n/a (female)
3184	J
3206	R1
3213	n/a (female)
3167	n/a (female)
3095	BT
3100	L
3100	n/a (female)
3513	n/a (female)
3639	n/a (female)
3550	n/a (female)
5950	n/a (female)
5950	n/a (female)
5950	n/a (female)
5950	..
5950	n/a (female)
5950	..
5950	n/a (female)
5950	n/a (female)
5950	..
5950	..
5950	..
5950	..
5950	n/a (female)
5950	n/a (female)
5950	n/a (female)
5950	..
5950	..
5950	..
5950	n/a (female)
5950	..
5950	n/a (female)
5950	n/a (female)
2951	..
2889	..
4194	..
9591	n/a (female)
3750	n/a (female)
3750	..
3500	n/a (female)
3500	n/a (female)
3500	..
3825	..
3550	..
3750	..
3825	n/a (female)
3462	..
3853	..
3500	..
3450	..
3550	n/a (female)
3170	..
3351	..
3372	..
3420	..
3300	n/a (female)
3650	..
3650	..
3375	..
3425	..
3500	..
3725	n/a (female)
3725	..
3725	..
3725	..
3725	n/a (female)
3725	..
3725	..
3675	..
3500	..
3450	..
3500	..
3527	..
3600	..
3725	n/a (female)
3725	..
3725	n/a (female)
3725	..
3725	n/a (female)
3725	n/a (female)
3548	n/a (female)
3500	n/a (female)
3500	n/a (female)
3512	..
3200	not published in paper
3300	..
3500	n/a (female)
3675	..
12700	..
12700	..
12700	..
13293	n/a (female)
12700	..
12700	..
12700	..
13293	n/a (female)
8700	..
3447	R1b1'5-P312
3491	n/a (female)
5061	G2a3-(F1193-)F2291
5152	G2a3-F1193
3804	n/a (female)
3772	n/a (female)
7074	..
7146	..
7202	n/a (female)
7216	..
7271	n/a (female)
4723	..
2832	n/a (female)
2600	n/a (female)
2250	..
2600	..
2800	n/a (female)
2750	..
2600	..
2350	..
2600	n/a (female)
2600	..
2600	..
4619	J2a7-Z2397
4633	n/a (female)
