Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Y haplogroup (manual curation in ISOGG format)
7900	..
7892	n/a (female)
7883	n/a (female)
7610	..
6533	..
6566	..
6569	n/a (female)
6462	..
6434	..
7913	A00
7820	B
3097	B2b
3135	n/a (female)
7913	A00
7820	B
3097	B2b
3135	n/a (female)
7820	..
7820	B
7913	A00
7913	A00
3097	B2b
6502	..
4842	n/a (female)
5666	n/a (female)
80000	n/a  (sex unknown)
5531	..
5814	..
2549	n/a (female)
2483	..
2084	n/a (female)
2058	n/a (female)
1990	n/a (female)
4929	n/a (female)
4935	I2
4384	I2a1b1a2b2
6091	n/a (female)
6048	I2a1a2
6057	I2a1a2
6242	..
11885	..
11885	..
5095	..
7293	n/a (female)
5130	..
9241	P
9232	..
12650	n/a (female)
14521	C
14174	C
19427	C2
10628	C
10557	C
11263	DE
10673	n/a (Sex Unknown)
11026	..
8564	n/a (female)
7039	C
6321	C
6838	C
6877	n/a (female)
8196	C
8368	n/a (female)
7308	..
6331	n/a (female)
7062	..
33592	n/a (female)
7361	n/a (female)
7389	n/a (female)
5594	n/a (female)
5250	C2e2
5250	C2e2
5250	n/a (female)
9709	..
9125	..
7827	..
7850	n/a (female)
7827	n/a (female)
7814	n/a (female)
8375	n/a (female)
8392	n/a (female)
4477	n/a (female)
4325	..
4505	..
4333	n/a (female)
4459	..
4333	..
4472	n/a (female)
4477	..
4350	..
4287	n/a (female)
4571	..
8190	..
7575	n/a (female)
4550	..
4550	..
4050	C2e1b2
4589	O2a2b1a1a1a2a
4050	n/a (female)
39565	..
4296	O2a2b1a1a
3900	n/a (female)
4479	O2a2b1a1a
3900	n/a (female)
3900	O2a2b1a1a
3900	O2a2b1a2a1a3b2b1
3900	..
2650	n/a (female)
2812	..
2650	C2b1a1b1
3750	n/a (female)
3750	..
3544	O2a1c
5250	n/a (female)
5250	O2a
5162	n/a (female)
5050	..
5050	..
5050	n/a (female)
5050	n/a (female)
5050	n/a (female)
5050	..
5050	n/a (female)
4785	n/a (female)
5050	n/a (female)
5050	n/a (female)
5050	..
2250	..
2250	..
2227	..
2213	n/a (female)
2250	..
2230	n/a (female)
2292	n/a (female)
2224	..
2250	n/a (female)
2300	n/a  (sex unknown)
2231	..
2225	n/a (female)
3250	O2a2b1a2a1a3b2b
3332	n/a (female)
2100	O2a2b1a1a
2250	n/a (female)
2131	..
3993	C2e2
3908	O2a2b1a1
4088	n/a (female)
4049	..
3934	n/a (female)
4536	O2a2b1a2a1c
3900	n/a (female)
3977	..
5250	n/a (female)
5950	n/a (female)
5250	..
5250	n/a (female)
5250	n/a (female)
5250	O1b1a2
6927	Q1a1a1
5250	n/a (female)
3600	..
3700	..
5950	..
6050	..
6050	..
6050	..
6050	..
6050	..
6050	n/a (female)
6095	n/a (female)
6050	..
6050	..
6050	n/a (female)
6050	n/a (female)
6050	..
6050	..
6050	n/a (female)
6050	n/a (female)
6050	n/a (female)
6050	n/a (female)
6050	n/a (female)
6050	..
6050	..
6023	n/a (female)
6050	n/a (female)
6050	..
6050	n/a (female)
6050	n/a (female)
6093	n/a (female)
6050	..
6050	..
6050	n/a (female)
6050	n/a (female)
6050	n/a (female)
6050	n/a (female)
6050	..
6050	n/a (female)
6050	..
6050	..
6050	..
2642	n/a (female)
2765	..
2729	..
2744	n/a (female)
2658	..
2658	..
2599	n/a (female)
2599	..
2750	n/a (female)
2374	..
2232	..
2554	..
2407	n/a (female)
2586	n/a (female)
2224	n/a (female)
2920	..
2722	n/a (female)
7582	n/a (female)
7545	..
4718	..
4800	n/a (female)
2900	..
2650	..
2900	n/a (female)
2201	..
2201	..
3750	n/a (female)
3410	..
3325	n/a (female)
3325	n/a (female)
3325	n/a (female)
3519	..
3508	n/a (female)
3573	..
3385	..
3631	..
3750	..
3750	..
3750	n/a (female)
3750	..
3750	..
3750	..
3750	n/a (female)
3750	..
3750	..
3750	n/a (female)
3750	..
3750	..
3750	n/a (female)
3750	n/a (female)
3750	..
3750	n/a (female)
3750	..
9056	n/a (female)
3450	..
3450	..
3450	n/a (female)
3450	n/a (female)
3450	..
3450	n/a (female)
3450	n/a (female)
3450	n/a (female)
3450	n/a (female)
3450	n/a (female)
3450	n/a (female)
3100	n/a (female)
3100	n/a (female)
3100	..
3100	n/a (female)
3100	..
3100	n/a (female)
3100	..
3100	n/a (female)
3100	..
3100	n/a (female)
3100	..
3100	n/a (female)
3100	..
3100	n/a (female)
3100	..
3100	n/a (female)
3100	n/a (female)
3100	..
3100	n/a (female)
3100	n/a (female)
3100	n/a (female)
3100	n/a (female)
3100	..
3100	..
3450	..
3100	n/a (female)
3100	n/a (female)
6450	..
7125	n/a (female)
6585	n/a (female)
7681	..
6588	n/a (female)
7001	..
6571	..
7078	n/a (female)
6875	..
6875	n/a (female)
7727	n/a (female)
7800	n/a (female)
7834	..
7863	..
6635	..
5421	n/a (female)
4676	..
3131	n/a (female)
3188	n/a (female)
3112	n/a (female)
3150	n/a  (sex unknown)
2734	Q1b1a1a1
2510	Q1b1a2
1960	Q1b1a1a
1992	n/a (female)
5400	..
9600	..
9600	..
9600	..
3022	..
4240	R1b - P312
4177	n/a (female)
4250	R1b - P312
4250	n/a (female)
4089	..
4170	..
4088	..
4038	..
4131	R1b1a1b1a1a2b1
4250	..
4131	..
4106	..
4163	n/a (female)
4177	n/a (female)
4188	n/a (female)
4155	..
4250	..
4150	n/a (female)
4100	n/a (female)
4150	..
4200	..
4183	n/a (female)
4247	..
4231	n/a (female)
4200	n/a (female)
4011	..
4200	n/a (female)
4200	..
4200	..
4200	n/a (female)
4200	..
4200	..
4333	..
4194	n/a (female)
4200	..
4221	..
4200	..
4200	..
4200	n/a (female)
4160	R1b - P312
4166	R1b - P312
4331	n/a (female)
4250	R1b - P312
4342	R1b - P312
4470	n/a (female)
4427	n/a (female)
4350	n/a (female)
4326	n/a (female)
4265	n/a (female)
4150	R1b - P312
4150	n/a (female)
4150	R1b - P312
4150	R1b - P312
4150	R1b - P312
4071	..
4200	..
4250	n/a (female)
4089	n/a (not published)
4071	..
4300	..
4200	n/a (female)
4331	n/a (female)
4222	n/a (female)
4250	n/a (female)
4150	R1b - P312
4264	R1b - P312
4470	n/a (female)
4289	..
5550	..
5505	..
5397	..
5850	..
5850	..
5850	..
5850	n/a (female)
5850	n/a (female)
5850	..
5850	..
5850	n/a (female)
5550	..
5850	n/a (female)
5850	n/a (female)
5550	..
5713	n/a (female)
6044	..
5610	n/a (female)
5526	n/a (female)
5657	n/a (female)
5552	..
5527	n/a (female)
5621	n/a (female)
5850	n/a (female)
4350	n/a (female)
4335	R1a - M417 (xZ645)
4349	R1a - M417 (xZ645)
4275	n/a (female)
4697	Q1b2a
4289	..
4575	n/a (female)
4575	..
4370	..
4324	..
4269	..
4200	..
4200	..
4533	R1b - L151
4697	n/a (female)
4650	R1b - L151
4398	n/a (female)
4680	R1b - M269
4545	n/a (female)
4835	R1b - L151
4512	n/a (female)
4477	n/a (female)
4843	R1b - U106
4653	R1a - M417 (xZ645)
4592	R1a - M417 (xZ645)
4500	R1a - M417 (xZ645)
4720	R1b - L151
4650	R1a
4620	n/a (female)
4644	R1a - M417 (xZ645)
4739	n/a (female)
4483	n/a (female)
4718	R1b - L151
4345	R1a - M417 (xZ645)
4336	n/a (female)
4500	R1a - M417 (xZ645)
4446	n/a (female)
4718	n/a (female)
4351	n/a (female)
4715	n/a (female)
4650	R1a?
4906	n/a (female)
4650	R1b - P310
4653	R1b - L151
4736	n/a (female)
4768	n/a (female)
4719	R1b - L151
4350	n/a (female)
4382	n/a (female)
4289	R1b - Z2103
4725	R1b - L151
4877	n/a (female)
4759	n/a (female)
4585	n/a (female)
4623	n/a (female)
3758	..
3754	n/a (female)
4250	n/a (female)
4250	..
4026	n/a (female)
4039	..
4250	n/a (female)
4250	n/a (female)
4250	..
4250	..
4100	..
4100	..
4025	..
4150	n/a (female)
4150	n/a (female)
3995	I2a2
3995	I2a2
3995	R1a - Z645
4084	n/a (female)
4070	I2a2
3926	n/a (female)
3975	R1b - P312
3772	n/a (female)
3905	n/a (female)
4000	I2a2
3937	R1a - Z645
4000	R1b - P312
3897	n/a (female)
4000	n/a (female)
3960	R1a - Z645
4100	n/a (female)
3950	..
3945	..
3943	n/a (female)
3950	..
3850	..
3850	n/a (female)
3850	..
3850	..
3850	..
3850	..
3850	n/a (female)
3950	n/a (female)
3950	..
3950	n/a (female)
3900	n/a (female)
3850	n/a (female)
3950	..
4250	n/a (female)
4250	..
3950	n/a (female)
3950	..
3950	..
3950	..
3950	..
3950	n/a (female)
4017	n/a (female)
4043	n/a (female)
3971	n/a (female)
4065	n/a (female)
3977	n/a (female)
3868	n/a (female)
3737	R1a - Z645
3805	R1b - P312
3894	n/a (female)
3906	n/a (female)
3993	n/a (female)
3914	n/a (female)
3915	R1a - Z645
3774	n/a (female)
3985	R1a - Z645
4000	n/a (female)
4124	R1a*
3779	R1b - P312
3769	R1b - P312
3767	n/a (female)
3808	R1b1a1b (xZ2105)
3817	n/a (female)
3911	R1b1a1b1a1a2b1 (xZ2105)
3773	n/a (female)
3762	n/a (female)
3812	n/a (female)
3848	n/a (female)
3839	n/a (female)
3793	n/a (female)
3855	n/a (female)
3791	n/a (female)
3791	n/a (female)
3659	n/a (female)
3795	R1b1a1b1a1a2b1 (xZ2103, xZ2105)
3837	n/a (female)
3793	n/a (female)
3768	n/a (female)
