Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
1450	400-600 CE	n/a (female)
1409	450-633 CE	..
1450	400-600 CE	n/a  (sex unknown)
1450	400-600 CE	n/a (female)
1425	450-600 CE	..
886	997-1152 calCE (988±16 BP, SUERC-54034)	..
1450	400-600 CE	..
1227	665-775 calCE (1288±25 BP, OxA-29574)	n/a (female)
1234	643-821 calCE (1320±45 BP, OxA-X-2565-12)	n/a (female)
1157	686-883 calCE (1230±25 BP, OxA-29572)	n/a (female)
1449	426-575 calCE (1560±30 BP, Beta-397731)	n/a (female)
1479	406-543 calCE (1620±30 BP, Beta-397732)	n/a (female)
1469	416-545 calCE (1600±30 BP, Beta-397733)	n/a (female)
1465	419-548 calCE (1590±30 BP, Beta-397734)	n/a (female)
1200	600-900 CE	I1
1350	400-800 CE	n/a (female)
1750	50-350 CE	J2b1
1750	50-350 CE	R1b1a1b1a1a1c1a2
1750	50-350 CE	R1b1a1b1a1a2c1a1i
1750	50-350 CE	R1b1a1b1a1a2c1b1
1750	50-350 CE	R1b1a1b1a1a2b1
1750	50-350 CE	R1b1a1b1a1a2e1
1750	50-350 CE	R1b1a1b1a1a1c1a1
1300	600-700 CE	..
1825	50-200 CE	R1b1a1b1a1a2c1a6a1
1825	50-200 CE	I2a1a1a1a1a1~
1825	50-200 CE	n/a (female)
1976	1-50 CE	R1b1a1b
1786	84-229 calCE (1883±24 BP, SUERC-104571)	n/a (female)
1200	700-800 CE	n/a (female)
1200	700-800 CE	I
1200	700-800 CE	R
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1400	400-700 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1200	400-1100 CE	n/a (female)
1200	400-1100 CE	..
1427	435-587 calCE (1545±20 BP, PSUAMS-6824)	n/a (female)
1378	541-604 calCE (1510±20 BP, PSUAMS-6825)	..
1382	539-603 calCE (1515±20 BP, PSUAMS-6826)	n/a (female)
1392	442-602 calCE (1525±20 BP, PSUAMS-6820)	..
1466	420-545 calCE (1590±25 BP, PSUAMS-6788)	n/a (female)
1487	410-535 calCE (1626±15 BP)	K2b
1010	880-1000 CE	I1
1010	880-1000 CE	BT
1010	880-1000 CE	I2a1b1a2b1a2b
1010	880-1000 CE	R1b1a1b1a1a1c2b
1010	880-1000 CE	R1b1a1b1a1a1c1a2
1010	880-1000 CE	I1
1010	880-1000 CE	R1a1a1
1010	880-1000 CE	I1a2a1a1d1a1a
1010	880-1000 CE	R1b1a1b1a1a2
1010	880-1000 CE	I1
1010	880-1000 CE	I1
1010	880-1000 CE	I1
1010	880-1000 CE	I1a1b1a3a~
1010	880-1000 CE	R1b1a1b1a1a2a1b1a1a~
1010	880-1000 CE	I1
1010	880-1000 CE	R1b1a1b1a1a1b
945	897-1037 calCE (1043±29 BP) [R_combine: (1030±40 BP, Beta-150715); (1055±40 BP, OxA-33786)]	n/a (female)
1010	880-1000 CE	R1a1a1b1a3a1
1010	880-1000 CE	I2a1b1a1a1b1a
1010	880-1000 CE	R1b1a1b1a1a1c2b
1010	880-1000 CE	R1b1a1b1a1
1010	880-1000 CE	I1a1b1a1
1010	880-1000 CE	R1b1a1b1a1a2b1
953	970-1025 CE	R1a1a1b1a3a1
953	970-1025 CE	I1a1b1b~
953	970-1025 CE	R1a1a1
953	970-1025 CE	R1b1a1b1a1a
953	970-1025 CE	Q1b2b1~
953	970-1025 CE	R1b1a1b1a1a2
953	970-1025 CE	I1
953	970-1025 CE	R1b1a1b1a1a2c1
953	970-1025 CE	R1a1a1
953	970-1025 CE	R1b1a1b1a1a1b
1227	657-777 calCE (1295±32 BP, Ua-50747)	I1a2a1a1d1a1a
1200	700-800 CE	I1a2a1a1d1a1a
1244	649-775 calCE (1330±30 BP, Poz-109002)	I1a2a1a1d1a
1200	700-800 CE	R1a1a1b1a2a
1200	700-800 CE	N1a1a1a1a1a1a
1200	700-800 CE	I1
1191	674-877 calCE (1250±30 BP, Beta-509632)	I1a2a1a1d1a
1200	700-800 CE	R1a1a1b1a2b3a
1200	700-800 CE	R1a1a1b1a2b3a
1200	700-800 CE	R1a1a1b 
1200	700-800 CE	I1a1b1
1200	700-800 CE	N1a1a1a1a1a1a
1200	700-800 CE	I1a2a1a1d1a1a
1200	700-800 CE	I1a2a1a1d1a
1200	700-800 CE	R1a1a1b1
1200	700-800 CE	I1a
1200	700-800 CE	I1a2a2a
1200	700-800 CE	R1a1a1b1a3a2a1
1200	700-800 CE	N1a1a1a1a1a
1200	700-800 CE	N1a1a1a1a1a1a
1237	652-775 calCE (1320±30 BP, Hela-191)	I1a
1121	706-945 calCE (1200±30 BP, Beta-509634)	I1a1b1
1200	700-800 CE	N1a1a1a1a1a1a
1200	700-800 CE	I1a1b1
1200	700-800 CE	I1a1b1
1200	700-800 CE	I1a1b1a1
1200	700-800 CE	N1a1a1a1a1a1a
1200	700-800 CE	I1a1b1
1200	700-800 CE	N1a1a1a1a1a1a1b
1200	700-800 CE	R1a1a1b1a3a1
1200	700-800 CE	I1a2a1a1d
1200	700-800 CE	I1a1b1
1120	705-949 calCE (1199±32 BP, Ua-50746)	I1
1200	700-800 CE	I1a2a1a1d1a
740	1180-1240 CE	..
685	1230-1300 CE	..
575	1360-1390 CE	..
740	1180-1240 CE	..
600	1250-1450 CE	n/a (female)
388	1500-1625 CE	..
365	1570-1600 CE	..
350	1500-1700 CE	n/a (female)
350	1500-1700 CE	R1b1a1b1a1a3b1a
350	1500-1700 CE	R1a1a1b1a3a
350	1500-1700 CE	R1a1a1b1a3a2b1a
350	1500-1700 CE	R1b1a1b1a1a2c1a1a1a1a1a
350	1500-1700 CE	R1a1a1b1a
350	1500-1700 CE	R1a1a1b1a3a2a
350	1500-1700 CE	R1b1a1b
350	1500-1700 CE	n/a (female)
350	1500-1700 CE	n/a (female)
350	1500-1700 CE	R1b1a1b1a1a2c1a1f1
350	1500-1700 CE	R1a1a1b1a3a1
350	1500-1700 CE	I1
350	1500-1700 CE	R1b1a1b1a1a3b1a
350	1500-1700 CE	R1b1a1b1a1a2c1a2
350	1500-1700 CE	R1a1a1b1a3a2b1a
900	1000-1100 CE	R1b1a1b1a1
1400	300-800 CE	n/a  (sex unknown)
1400	300-800 CE	n/a (female)
1400	300-800 CE	n/a (female)
1400	300-800 CE	n/a (female)
1400	300-800 CE	n/a  (sex unknown)
1400	300-800 CE	n/a  (sex unknown)
1400	300-800 CE	n/a  (sex unknown)
1388	436-644 calCE (1508±38 BP, UBA-32346)	n/a (female)
685	1228-1285 calCE (755±20 BP, PSUAMS-9403)	..
203	1657-1803 calCE (236±18 BP, MAMS-30075)	..
228	1645-1800 calCE (257±19 BP, MAMS-30077)	..
366	1508-1654 calCE (318±18 BP, MAMS-30076)	..
1350	400-800 CE	G2a2b2a1a1b1a2a1a
1350	400-800 CE	R1b1a2a1a2e2
1350	400-800 CE	R1b1a2a1a2
1350	400-800 CE	n/a (female)
1350	400-800 CE	R1b1a2a1a
1350	400-800 CE	I2a2a1b2
1350	400-800 CE	R1b1a2a1a2c1g3
1350	400-800 CE	R1a1a
1350	400-800 CE	R1b1a2a1a2
1350	400-800 CE	R1b1a2a1a2
1350	400-800 CE	R1b1a2a1a2c1
1350	400-800 CE	R1b1a2a2c1a1a
1350	400-800 CE	G2a2
1350	400-800 CE	I1a2a1a2
1350	400-800 CE	R1b1a2a1a2
1350	400-800 CE	G2a2b2a1a1b1a2a1a
1350	400-800 CE	E1b1b1a1b1a
1150	600-1000 CE	R1b1a2a1a1c2b2a1a1
1150	600-1000 CE	R1b1a2a1a1c2b2b1a2
1150	600-1000 CE	J2b2a1a1
1150	600-1000 CE	n/a (female)
1150	600-1000 CE	R1b1a2a1a2
1150	600-1000 CE	I1
1150	600-1000 CE	J2b2a1a1
1150	600-1000 CE	n/a (female)
1150	600-1000 CE	R1b1a2
1150	600-1000 CE	R1b1a2a1a1c2b2a1a2
1150	600-1000 CE	n/a (female)
1150	600-1000 CE	n/a (female)
1150	600-1000 CE	J2b2a1a1
1150	600-1000 CE	J2b2a1a1
1150	600-1000 CE	I2a2a1b2a1
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	R1a1a1b1a3b2
1200	600-900 CE	n/a (female)
1200	600-900 CE	I
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	I1a1b
1200	600-900 CE	R1b1a2a1a1c2b2a1a1a1
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	n/a (female)
1200	600-900 CE	I1
1050	800-1000 CE	R1b1a2a1a
1050	800-1000 CE	I1a1b
1050	800-1000 CE	R1b1a2a1a
1050	800-1000 CE	n/a (female)
1050	800-1000 CE	I2
1050	800-1000 CE	R1b1a2a1a1
1050	800-1000 CE	R1b1a2a1a1c1a
1050	800-1000 CE	R1b1a2a1a1
1050	800-1000 CE	I2a2
1050	800-1000 CE	R1b1a2a1a2
1050	800-1000 CE	R1b1a2a1a2
1050	800-1000 CE	R1b1a2a1a2e
1050	800-1000 CE	I
1345	580-630 CE	..
1345	580-630 CE	..
1345	580-630 CE	..
1345	580-630 CE	..
1345	580-630 CE	..
1345	580-630 CE	..
1345	580-630 CE	..
1345	580-630 CE	..
1345	580-630 CE	..
1345	580-630 CE	..
1345	580-630 CE	n/a  (sex unknown)
1345	580-630 CE	n/a  (sex unknown)
1498	385-537 calCE (1636±20 BP)	n/a (female)
1503	383-535 calCE (1639±20 BP)	n/a (female)
1482	409-537 calCE (1624±20 BP)	n/a (female)
1430	510-530 CE	n/a (female)
1430	510-530 CE	n/a (female)
1364	546-640 calCE (1492±24 BP)	n/a (female)
1483	409-537 calCE (1625±19 BP)	n/a (female)
1469	420-538 calCE (1601±19 BP)	n/a (female)
1497	402-536 calCE (1635±19 BP)	n/a (female)
1445	480-530 CE	n/a (female)
1455	480-510 CE	..
1525	264-535 calCE (1649±23 BP)	n/a (female)
1471	418-539 calCE (1606±23 BP)	n/a (female)
1405	530-560 CE	n/a (female)
1430	510-530 CE	n/a (female)
1455	480-510 CE	..
1430	510-530 CE	n/a (female)
1455	480-510 CE	n/a (female)
1445	480-530 CE	n/a (female)
1455	480-510 CE	..
1500	250-650 CE	..
1477	412-538 calCE (1619±22 BP)	..
1529	260-540 calCE (1651±40 BP)	n/a (female)
1491	405-537 calCE (1631±19 BP)	n/a (female)
1475	413-538 calCE (1616±23 BP)	n/a (female)
1350	580-620 CE	..
1467	422-541 calCE (1594±23 BP)	n/a (female)
1445	480-530 CE	n/a (female)
1455	480-510 CE	..
1430	510-530 CE	n/a (female)
1455	480-510 CE	..
1430	510-530 CE	n/a (female)
1455	460-530 CE	..
1430	510-530 CE	n/a (female)
1455	460-530 CE	..
1430	510-530 CE	..
1550	300-500 CE	R1b1a2a1a2
1550	300-500 CE	R1b1a2a1a2e
1550	300-500 CE	R1b1a2a1a
1550	300-500 CE	R1b1a2a1a1
1550	300-500 CE	R1b1a2a1a2
1550	300-500 CE	R1b1a2a1a2
1550	300-500 CE	n/a (female)
1550	300-500 CE	I
1550	300-500 CE	n/a (female)
1550	300-500 CE	I1a3
1550	300-500 CE	..
1550	300-500 CE	n/a (female)
1650	275-325 CE	..
800	1100-1200 CE	R1b1a2a1a1
775	1100-1250 CE	n/a (female)
800	1100-1200 CE	R1b1a2a1a2c1f2
850	1000-1200 CE	I1a2
850	1000-1200 CE	n/a (female)
850	1000-1200 CE	R1b1a2a1a2a1a1a
850	1000-1200 CE	I1a3a2b
800	1100-1200 CE	I1a2
850	1000-1200 CE	NO
850	1000-1200 CE	I2a2a1b2
850	1000-1200 CE	R1b1a2a1
850	1000-1200 CE	R1b1a2a1a1c2b2b1a
775	1100-1250 CE	R1b1a2a1a1c2b2a1a1a1
850	1000-1200 CE	R1b1a2a1a
850	1000-1200 CE	I1a2
1150	700-900 CE	R1b1a2a1a
1150	700-900 CE	..
1150	700-900 CE	R1a
1150	700-900 CE	R1b1a2a1a1c2b2b1a1
1250	600-900 CE	R1b1a2
1250	600-900 CE	n/a (female)
1610	252-412 calCE (1715±25 BP, PSUAMS-3469)	..
950	900-1100 CE	n/a (female)
950	900-1100 CE	n/a (female)
900	900-1200 CE	IJ
900	900-1200 CE	I
900	900-1200 CE	CT
900	900-1200 CE	I1
900	900-1200 CE	n/a (female)
950	900-1100 CE	n/a (female)
900	900-1200 CE	I1
900	900-1200 CE	R1a1a1b1a3a1
900	900-1200 CE	I1
998	891-1020 calCE (1089±30 BP, AAR-12967)	n/a (female)
1103	771-957 calCE (1183±29 BP, AAR-5258)	n/a (female)
900	900-1200 CE	R1a1a1
950	900-1100 CE	n/a (female)
776	1046-1267 calCE (865±40 BP, AAR-1144)	n/a (female)
878	995-1154 calCE (989±24 BP, AAR-5261)	n/a  (sex unknown)
845	1025-1207 calCE (940±40 BP, AAR-1147)	n/a (female)
726	1168-1271 calCE (825±33 BP, AAR-5403)	n/a (female)
834	1035-1211 calCE (919±35 BP, AAR-6146)	I1a
762	1046-1277 calCE (845±50 BP, AAR-1263)	n/a (female)
931	893-1155 calCE (1030±45 BP, AAR-1143)	R1b1a1b1a1
843	1024-1211 calCE (940±45 BP, AAR-1145)	n/a (female)
935	992-1034 calCE (1018±17 BP, MAMS-39627)	Q1b1a1a
1024	775-980 calCE (1137±17 BP, MAMS-39628)	n/a (female)
637	1276-1384 calCE (687±21 BP, MAMS-39637)	Q1b
663	1269-1376 calCE (715±20 BP, MAMS-39636)	n/a (female)
616	1000-1668 CE	n/a (female)
616	1000-1668 CE	n/a (female)
616	1000-1668 CE	n/a (female)
616	1000-1668 CE	..
705	1220-1271 calCE (800±20 BP, PSUAMS-11954)	n/a (female)
475	1300-1650 CE	..
496	1439-1474 calCE (425±15 BP, PSUAMS-10003)	n/a (female)
1565	262-425 calCE (1670±20 BP, PSUAMS-11594)	n/a (female)
600	1200-1500 CE	n/a (female)
525	1200-1650 CE	n/a (female)
600	1200-1500 CE	n/a (female)
475	1300-1650 CE	..
525	1200-1650 CE	..
525	1200-1650 CE	n/a (female)
700	1150-1350 CE	n/a (female)
700	1150-1350 CE	n/a (female)
365	1523-1655 calCE (285±15 BP, PSUAMS-11955)	..
600	1200-1500 CE	n/a (female)
525	1200-1650 CE	..
425	1400-1650 CE	n/a (female)
475	1300-1650 CE	n/a (female)
525	1200-1650 CE	..
708	1216-1271 calCE (810±20 BP, PSUAMS-10004)	..
475	1300-1650 CE	..
475	1300-1650 CE	n/a (female)
525	1200-1650 CE	..
447	1447-1621 calCE (390±20 BP PSUAMS-11907)	..
525	1200-1650 CE	..
475	1300-1650 CE	..
525	1200-1650 CE	n/a (female)
525	1200-1650 CE	..
525	1200-1650 CE	n/a (female)
656	1273-1378 calCE (705±20 BP, PSUAMS-11961)	n/a (female)
531	1402-1439 calCE (515±20 BP PSUAMS-11915)	..
475	1300-1650 CE	..
517	1421-1447 calCE (480±15 BP, PSUAMS-10205)	..
656	1273-1378 calCE (705±20 BP, PSUAMS-11962)	..
475	1300-1650 CE	n/a (female)
475	1300-1650 CE	..
475	1300-1650 CE	..
525	1200-1650 CE	n/a (female)
525	1200-1650 CE	..
475	1300-1650 CE	n/a (female)
525	1200-1650 CE	n/a (female)
508	1428-1455 calCE (455±15 BP, PSUAMS-11596)	n/a (female)
475	1300-1650 CE	..
525	1200-1650 CE	..
525	1200-1650 CE	..
700	1150-1350 CE	..
525	1200-1650 CE	n/a (female)
475	1300-1650 CE	n/a (female)
475	1300-1650 CE	..
525	1200-1650 CE	..
475	1300-1650 CE	n/a (female)
525	1200-1650 CE	..
475	1300-1650 CE	n/a (female)
475	1300-1650 CE	n/a (female)
704	1221-1273 calCE (795±20 BP PSUAMS-11916)	..
475	1300-1650 CE	..
383	1501-1641 calCE (320±15 BP, PSUAMS-10013)	n/a (female)
475	1300-1650 CE	n/a (female)
475	1300-1650 CE	..
475	1300-1650 CE	..
525	1200-1650 CE	n/a (female)
525	1200-1650 CE	n/a (female)
525	1200-1650 CE	..
525	1200-1650 CE	n/a (female)
525	1200-1650 CE	..
475	1300-1650 CE	..
601	1306-1401 calCE (600±15 BP, PSUAMS-11595)	n/a (female)
520	1414-1444 calCE (490±15 BP, PSUAMS-11960)	n/a (female)
600	1200-1500 CE	..
500	1400-1500 CE	..
478	1439-1615 calCE (410±20 BP, PSUAMS-10011)	..
525	1200-1650 CE	n/a (female)
525	1200-1650 CE	n/a (female)
600	1200-1500 CE	n/a (female)
475	1300-1650 CE	n/a (female)
602	1305-1400 calCE (605±15 BP, PSUAMS-10012)	n/a (female)
950	800-1200 CE	n/a (female)
950	800-1200 CE	..
1150	780-820 CE	n/a (female)
1200	700-800 CE	..
1200	700-800 CE	..
1225	700-750 CE	..
1350	550-650 CE	..
1700	200-300 CE	..
1325	600-650 CE	..
1200	700-800 CE	n/a (female)
1350	550-650 CE	n/a (female)
1325	600-650 CE	n/a (female)
1350	550-650 CE	..
1225	700-750 CE	..
1225	700-750 CE	n/a (female)
1250	650-750 CE	..
1175	750-800 CE	..
1325	600-650 CE	..
1325	600-650 CE	..
1250	650-750 CE	n/a (female)
1250	650-750 CE	..
1250	650-750 CE	n/a (female)
1313	625-650 CE	n/a (female)
1325	600-650 CE	n/a (female)
1360	549-640 calCE (1487±26 BP)	n/a (female)
1348	560-645 calCE (1472±27 BP)	n/a (female)
1200	700-800 CE	n/a (female)
1200	700-800 CE	..
1566	261-428 calCE (1670±22 BP)	..
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	n/a (female)
1442	412-604 CE	n/a (female)
1442	412-604 CE	n/a (female)
1442	412-604 CE	n/a (female)
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	n/a (female)
1442	412-604 CE	..
1442	412-604 CE	n/a (female)
1442	412-604 CE	n/a  (sex unknown)
1456	430-562 calCE (1567±24 BP)	n/a (female)
1442	412-604 CE	n/a (female)
1442	412-604 CE	n/a (female)
1430	433-593 calCE (1544±26 BP)	..
1442	412-604 CE	n/a (female)
1442	412-604 CE	..
1393	438-605 calCE (1521±25 BP)	..
1442	412-604 CE	..
1467	419-543 calCE (1595±27 BP)	..
1442	412-604 CE	n/a (female)
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	n/a (female)
1442	412-604 CE	..
1462	424-550 calCE (1579±25 BP)	..
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	..
1442	412-604 CE	..
703	1216-1280 calCE (788±30 BP, UBA-33601)	n/a (female)
236	1678-1750 CE	..
603	1296-1400 calCE (620±30 BP, Beta-)	R1b1a1a2a1a2c1a1 
825	1050-1200 CE	..
1000	900-1000 CE	n/a (female)
1025	850-1000 CE	R1a1a1b1a3 
1015	870-1000 CE	n/a (female)
1015	870-1000 CE	R1a1a1b1a3b 
1015	870-1000 CE	R1a1a1b1a3a1 
1015	870-1000 CE	I1a1b3b 
950	950-1050 CE	..
1015	870-1000 CE	..
1015	870-1000 CE	..
1015	870-1000 CE	n/a (female)
1000	900-1000 CE	..
1015	870-1000 CE	..
1025	850-1000 CE	..
1025	850-1000 CE	..
1025	850-1000 CE	n/a (female)
1025	850-1000 CE	..
1000	900-1000 CE	..
1015	870-1000 CE	..
854	1025-1160 calCE (960±30 BP, Beta-)	..
1000	850-1050 CE	n/a (female)
1000	850-1050 CE	..
1000	850-1050 CE	..
1015	870-1000 CE	n/a  (sex unknown)
950	980-1020 CE	I1 
850	900-1300 CE	n/a (female)
850	900-1300 CE	I1a1b1a1
850	900-1300 CE	R1b1a1b1a1a2d1a1
850	900-1300 CE	R1b1a1b1a1a1 
850	900-1300 CE	n/a (female)
850	900-1300 CE	R2a2b1
1000	900-1000 CE	R1a1a1b1a3a2b
1000	900-1000 CE	n/a (female)
1000	900-1000 CE	R1a1a1b1a3a1
850	900-1300 CE	R1a1a1b1a3a2b
850	900-1300 CE	n/a (female)
850	900-1300 CE	n/a (female)
850	900-1300 CE	n/a (female)
850	900-1300 CE	n/a (female)
850	900-1300 CE	R1b1a1b1a1a2c1a1a1a1a1a
850	900-1300 CE	I1a1b1a4a2
850	900-1300 CE	n/a (female)
1011	891-991 calCE (1115±20 BP, PSUAMS-5428)	..
1099	772-950 calCE (1175±20 BP, PSUAMS-5430)	n/a (female)
1099	772-950 calCE (1175±20 BP, PSUAMS-5431)	n/a (female)
1099	772-950 calCE (1175±20 BP, PSUAMS-5432)	..
1109	772-893 calCE (1185±20 BP, PSUAMS-5433)	n/a (female)
1107	772-893 calCE (1180±15 BP, PSUAMS-5460)	n/a (female)
1129	707-888 calCE (1210±25 BP, PSUAMS-5462)	..
1101	772-950 calCE (1180±25 BP, PSUAMS-5463)	n/a (female)
1118	774-885 calCE (1200±20 BP, PSUAMS-5464)	..
1166	688-878 calCE (1235±20 BP, PSUAMS-5465)	..
1118	774-885 calCE (1200±20 BP, PSUAMS-5466)	..
1016	886-990 calCE (1125±20 BP, PSUAMS-5436)	..
1070	772-974 calCE (1160±20 BP, PSUAMS-5437)	..
1109	772-893 calCE (1185±20 BP, PSUAMS-5467)	n/a (female)
1152	705-878 calCE (1230±15 BP, PSUAMS-5473)	n/a (female)
1007	892-993 calCE (1105±15 BP, PSUAMS-5440)	..
1118	774-885 calCE (1200±20 BP, PSUAMS-5469)	..
1228	674-773 calCE (1280±15 BP, PSUAMS-4606)	..
1125	772-885 calCE (1210±20 BP, PSUAMS-5441)	n/a (female)
1178	682-878 calCE (1240±20 BP, PSUAMS-5442)	n/a (female)
1109	772-893 calCE (1185±20 BP, PSUAMS-4505)	..
1015	887-986 calCE (1125±15 BP, PSUAMS-4596)	n/a (female)
1023	774-993 calCE (1130±25 BP, PSUAMS-5470)	..
143	1671-1945 calCE (150±15 BP, PSUAMS-5459)	..
128	1698-1910 calCE (30±20 BP, PSUAMS-5429)	n/a (female)
124	1682-1937 calCE (130±15 BP, PSUAMS-5461)	..
126	1686-1927 calCE (115±20 BP, PSUAMS-5434)	n/a (female)
131	1675-1943 calCE (140±15 BP, PSUAMS-5471)	..
128	1694-1918 calCE (105±15 BP, PSUAMS-5435)	..
129	1697-1910 calCE (35±20 BP, PSUAMS-5439)	..
193	1656-1950 calCE (200±15 BP, PSUAMS-4504)	n/a (female)
127	1683-1936 calCE (125±20 BP, PSUAMS-5468)	..
188	1660-1950 calCE (195±15 BP, PSUAMS-4569)	n/a (female)
128	1681-1940 calCE (130±20 BP, PSUAMS-5438)	..
131	1675-1943 calCE (140±15 BP, PSUAMS-4595)	..
150	1650-1950 CE	..
143	1671-1945 calCE (150±15 BP, PSUAMS-5472)	n/a (female)
199	1653-1950 calCE (205±15 BP, PSUAMS-5274)	..
90	1800-1920 CE	..
1827	30-209 calCE (1917±25 BP, OxA-35441)	n/a (female)
389	1480-1640 calCE (330±30 BP, Beta-432801)	n/a (female)
950	700-1300 CE	n/a (female)
950	700-1300 CE	R1b1a2a1a2
950	700-1300 CE	n/a (female)
950	700-1300 CE	R1b1a2a1a2
950	700-1300 CE	n/a (female)
950	700-1300 CE	R1b1a2
950	700-1300 CE	n/a (female)
950	700-1300 CE	R1b1a2a1a2c1a1a1a1a1
950	700-1300 CE	R1b1a2a1a2c
950	700-1300 CE	n/a (female)
950	700-1300 CE	R1b1a2a1a2
950	700-1300 CE	R1b1a2a1a2c
950	700-1300 CE	R1b1a2a1a2c1b2b1
950	700-1300 CE	R
950	700-1300 CE	I2a1b
950	700-1300 CE	..
950	700-1300 CE	R1b1a2a1a2c1f2c1
950	700-1300 CE	n/a (female)
950	700-1300 CE	R1b1a2a1a2c1
950	700-1300 CE	n/a (female)
950	700-1300 CE	R1b1a2a1a2
950	700-1300 CE	R1b1a2a1a2c1f2c2
950	700-1300 CE	R1b1a2a1a2c1b2c1a1
950	700-1300 CE	R1b1a2a1a2a1a2
950	700-1300 CE	n/a (female)
950	700-1300 CE	n/a (female)
950	700-1300 CE	R1b1a2a1a2
950	700-1300 CE	R1b1a2a1a2c1a1a1a1a
950	700-1300 CE	R1b1a2a1a2c1
950	700-1300 CE	R1b1a2a1a2
950	700-1300 CE	R1b1a2a1a2c1a1a1a1a1
950	700-1300 CE	R1b1a2a1a
950	700-1300 CE	R1b1a2a1a2c1a1a1a1a1a
950	700-1300 CE	n/a (female)
950	700-1300 CE	R1b1a2a1a2c1b
950	700-1300 CE	R1b1a2a1a2c1a1a1a1a1a
950	700-1300 CE	R1b1a2a1a
950	700-1300 CE	R1b1a2a1a2
950	700-1300 CE	R1b1a2a1a
1100	800-900 CE	R1a1a1a1d1~
1100	800-900 CE	n/a (female)
1185	665-865 calCE	R1b1a1b1a1a2c1a1a1a1a1a1a
1100	800-900 CE	R1a1a1b1a3a1
1050	800-1000 CE	R1b1a1b1a1a1b
400	1400-1700 CE	n/a (female)
400	1400-1700 CE	n/a (female)
1225	650-800 calCE	..
