Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Y haplogroup (manual curation in ISOGG format)
1324	593-660 calCE (1421±28 BP)	E1b1b1b1a1 E-M183 
1101	771-958 calCE (1220±15) [R_combine: (1220±20, PSUAMS-1617); (1220±20 BP, PSUAMS-1618)]	n/a (female)
990	795-1115 calCE (1320±20 BP, PSUAMS-1619)	n/a (female)
1000	750-1150 CE	..
595	1300-1410 calCE (650±24 BP, UGAMS-3241)	..
825	1040-1210 calCE (950±30 BP, Poz-83481)	..
603	1301-1396 calCE (665±15 BP, PSUAMS-7821)	..
750	1155-1260 calCE (890±20 BP, PSUAMS-6819)	..
100	1800-1900 CE	..
645	1230-1380 calCE (760±20 BP, PSUAMS-1870)	..
459	141-1631 calCE (428±46 BP) [R_combine: union of two dates: (B-4996); (B-5006)]	..
100	1800-1900 CE	n/a (female)
100	1800-1900 CE	..
100	1800-1900 CE	..
100	1800-1900 CE	n/a (female)
100	1800-1900 CE	n/a (female)
1211	669-854 calCE (1320±30 BP, Beta-413912)	..
858	1024-1155 calCE (1000±30 BP, Beta-413911)	n/a (female)
1000	600-1300 CE	..
775	1048-1266 calCE (910±30 BP, Beta-413909)	..
1786	81-236 calCE (1880±30 BP, Beta-500004)	C2b1a1b1
1800	50-250 CE 	C2b1a1b1
1800	50-250 CE 	C2b1a1b1b
1800	50-250 CE 	C2b1a1b1
338	1510-1798 calCE (270±30 BP)	..
1850	50-150 CE 	n/a (female)
1763	120-248 calCE (1852±30 BP)	O2a2b1a1a1a2a
1850	50-150 CE 	n/a (female)
1850	50-150 CE 	n/a (female)
201	1665-1808 calCE (217±20 BP, OxA-37353)	E1b1a1a1d1a2(E-CTS99,E-CTS99)
207	1653-1801 calCE (241±20 BP, OxA-37355)	R1b1(R-P25_1,R-M415)
140	1673-1950 calCE (172±20 BP, OxA-37354)	E(E-M96,E-PF1620)
766	1053-1224 calCE (871±21 BP, OxA-37362)	n/a (female)
199	1662-1843 calCE (211±21 BP, OxA-37363)	..
1604	255-413 calCE (1709±23 BP)	..
1216	677-824 calCE (1256±17 BP, MAMS-38379)	n/a (female)
1096	771-952 calCE (1171±17 BP, MAMS-38383)	n/a (female)
1029	774-979 calCE (1141±17 BP, MAMS-38381)	n/a (female)
1228	674-774 calCE (1274±16 BP, MAMS-38379)	n/a (female)
396	1468-1636 calCE (348±26 BP, BRAMS-1303)	..
1232	661-775 calCE (1311±16 BP, MAMS-38382)	n/a (female)
1200	700-800 CE	n/a (female)
849	1035-1159 calCE (941±21 BP, MAMS-36503)	..
1326	540-773 calCE (1420±59 BP, AA-89060)	n/a (female)
1214	653-874 calCE (1289±46 BP, AA-101056)	n/a (female)
905	992-1149 calCE (1000±20 BP, MAMS-44066)	Q1b1a1a1
1542	263-531 calCE (1656±20 BP, MAMS-44069)	Q1b1a1a1
750	1162-1256 calCE (852±19 BP, MAMS-44076)	n/a (female)
1313	605-660 calCE (1402±20 BP, MAMS-44077)	Q1b1a1a1
932	991-1040 calCE (1015±19 BP, MAMS-44078)	Q1b1a1a1
1319	604-656 calCE (1412±20 BP, MAMS-44079)	Q1b1a1a1
1299	608-670 calCE (1380±20 BP, MAMS-44082)	Q1b1a1a1
709	1215-1271 calCE (812±20 BP, MAMS-44083)	Q1b1a2
1323	601-654 calCE (1423±20 BP, MAMS-44084)	Q1b1a1a1
1300	550-750 CE	n/a (female)
1320	603-655 calCE (1416±20 BP, MAMS-44086)	n/a (female)
1328	600-646 calCE (1442±13 BP) [R_combine: (1425±15 BP, PSUAMS-4868); (1471±20 BP, MAMS-44067)]	n/a (female)
1104	772-944 calCE (1180±20 BP, PSUAMS-7408)	n/a (female)
1214	653-874 calCE (1289±46 BP, AA-101056)	n/a (female)
393	1472-1642 calCE (335±36 BP, MAMS-44093)	Q1b1a1a1
488	1436-1490 calCE (420±20 BP, MAMS-44094)	n/a (female)
515	1420-1453 calCE (472±20 BP, MAMS-44095)	Q1b1a1a1
517	1412-1450 calCE (480±22 BP, MAMS-44096)	n/a (female)
425	1400-1650 CE	Q1b1a1a1
1455	434-557 calCE (MAMS-39629)	n/a (female)
1414	436-593 calCE (1540±18 BP, MAMS-39621)	na
1345	565-645 calCE (1468±25 BP, MAMS-39620)	Q1b1a
1232	659-775 calCE (1308±22 BP, MAMS-39631)	n/a (female)
1397	441-600 calCE (1528±20 BP, MAMS-39618)	Q1b
1257	652-774 calCE (1334±18 BP, MAMS-39622)	n/a (female)
530	1403-1439 calCE (513±20 BP, MAMS-36507)	n/a (female)
1657	235-346 calCE (1771±21 BP, MAMS-44101)	Q1b
1736	129-307 calCE (1832±21 BP, MAMS-36502)	n/a (female)
1561	261-430 calCE (1667±21 BP, MAMS-36504)	n/a (female)
1231	660-775 calCE (1308±21 BP, MAMS-36506)	n/a (female)
1826	19-231 calCE (1913±43 BP, UOC-4085)	n/a (female)
1824	31-210 calCE (1915±23 BP, MAMS-36505)	Q1b1a1a1
1783	89-226 calCE (1879±21 BP, UOC-6850)	Q1b1a1a1
1877	14-125 calCE (1951±20 BP, UOC-6851)	n/a (female)
650	1200-1400 CE	..
